ax,ay,az,gx,gy,gz,slot,label
0.3550,-1.2544,-0.1929,57.500,6.707,-8.720,2,90
0.3477,-1.2524,-0.1919,56.524,6.098,-7.378,2,90
0.3511,-1.2524,-0.1973,55.305,5.610,-5.976,2,90
0.3486,-1.2500,-0.1982,53.232,5.183,-4.695,2,90
0.3438,-1.2500,-0.1973,52.134,4.451,-3.415,2,90
0.3398,-1.2549,-0.2104,49.939,4.207,-1.890,2,90
0.3354,-1.2495,-0.2056,47.927,4.146,-0.427,2,90
0.3291,-1.2524,-0.2051,45.244,3.780,0.549,2,90
-0.4058,0.2246,0.0884,117.744,-112.927,1.402,3,41
-0.4229,0.1855,0.1001,127.073,-115.366,0.976,3,41
-0.4292,0.1533,0.1143,136.402,-117.439,0.366,3,41
-0.4443,0.1353,0.1543,144.817,-119.573,-0.671,3,41
-0.4683,0.1357,0.1924,151.463,-121.463,-1.098,3,41
-0.4834,0.1538,0.2192,156.402,-123.415,-1.341,3,41
-0.4888,0.1631,0.2617,158.659,-124.939,0.732,3,41
-0.4814,0.1426,0.2681,160.305,-126.890,3.963,3,41
-0.3467,-1.2026,-0.4185,-6.707,38.963,57.805,1,90
-0.3247,-1.1895,-0.4307,-7.439,40.183,55.976,1,90
-0.3154,-1.1636,-0.4502,-8.963,41.341,53.841,1,90
-0.3008,-1.1323,-0.4639,-10.549,43.049,51.951,1,90
-0.2759,-1.1152,-0.4771,-12.134,44.207,49.695,1,90
-0.2617,-1.0879,-0.4927,-13.659,45.549,47.439,1,90
-0.2529,-1.0737,-0.4932,-16.098,47.317,45.549,1,90
-0.2290,-1.0449,-0.5020,-18.720,48.598,43.598,1,90
0.3047,-1.2480,-0.2261,12.439,0.183,11.280,2,90
0.3062,-1.2422,-0.2314,10.915,-0.061,11.463,2,90
0.2964,-1.2393,-0.2319,7.073,-0.732,11.829,2,90
0.2896,-1.2251,-0.2383,2.256,-1.585,12.256,2,90
0.2856,-1.2163,-0.2451,-1.768,-2.805,11.890,2,90
0.2734,-1.2007,-0.2520,-4.878,-3.232,11.890,2,90
0.2690,-1.1851,-0.2568,-8.232,-4.085,11.707,2,90
0.2646,-1.1680,-0.2593,-11.159,-4.634,11.341,2,90
-0.5879,-0.2334,0.1577,199.024,-155.610,17.622,3,41
-0.6299,-0.2451,0.1426,203.780,-159.085,18.232,3,41
-0.6655,-0.2754,0.1577,205.427,-162.378,18.841,3,41
-0.7031,-0.3179,0.1772,205.305,-165.366,19.512,3,41
-0.7314,-0.4014,0.1836,206.098,-168.171,20.671,3,41
-0.7583,-0.5034,0.1294,209.695,-169.756,22.439,3,41
-0.7866,-0.6133,-0.0327,213.963,-168.902,25.122,3,41
-0.8232,-0.7852,-0.4160,216.524,-164.756,27.500,3,41
-0.1426,-0.8525,-0.5547,-52.439,54.756,29.451,1,90
-0.1348,-0.8262,-0.5391,-56.341,55.122,27.866,1,90
-0.1348,-0.7974,-0.5479,-60.915,55.366,26.829,1,90
-0.1187,-0.7720,-0.5430,-64.878,55.549,25.183,1,90
-0.1157,-0.7397,-0.5410,-69.207,55.427,23.415,1,90
-0.1089,-0.6909,-0.5376,-75.793,55.183,21.220,1,90
-0.1084,-0.6787,-0.5376,-77.805,55.183,20.610,1,90
-0.1074,-0.6548,-0.5410,-81.829,55.061,19.024,1,90
0.2075,-0.9951,-0.3135,-39.024,-6.890,6.159,2,90
0.2056,-0.9707,-0.3242,-41.829,-6.829,5.366,2,90
0.2007,-0.9575,-0.3423,-45.000,-6.829,4.451,2,90
0.1904,-0.9473,-0.3540,-47.744,-6.829,3.110,2,90
0.1890,-0.9346,-0.3652,-50.549,-7.134,2.256,2,90
0.1865,-0.9302,-0.3901,-53.659,-6.585,0.976,2,90
0.1841,-0.9194,-0.4048,-56.707,-6.524,0.122,2,90
0.1729,-0.9111,-0.4146,-59.878,-6.220,-1.341,2,90
0.1802,-0.8979,-0.4419,-63.049,-6.159,-2.439,2,90
0.1724,-0.9028,-0.4570,-66.159,-5.793,-3.659,2,90
0.1772,-0.8955,-0.4722,-69.390,-5.183,-4.634,2,90
0.1680,-0.8901,-0.4863,-72.256,-4.695,-5.854,2,90
0.1709,-0.8896,-0.4971,-75.183,-4.024,-6.951,2,90
0.1631,-0.8833,-0.5093,-78.293,-3.110,-8.293,2,90
0.1616,-0.8809,-0.5176,-81.037,-1.829,-9.085,2,90
0.1636,-0.8701,-0.5303,-83.354,-1.280,-10.122,2,90
-0.0928,-0.3965,-0.5527,-105.061,50.305,5.305,1,90
-0.0996,-0.3774,-0.5464,-105.732,49.390,4.695,1,90
-0.0942,-0.3672,-0.5513,-105.976,49.024,3.780,1,90
-0.0986,-0.3584,-0.5488,-106.037,47.805,3.232,1,90
-0.0952,-0.3506,-0.5464,-105.183,47.073,2.866,1,90
-0.0986,-0.3496,-0.5356,-104.878,46.707,2.683,1,90
-0.0986,-0.3467,-0.5444,-102.988,45.854,2.134,1,90
-0.0986,-0.3491,-0.5371,-100.793,45.793,2.073,1,90
-2.1919,0.1309,-2.1133,-178.659,39.695,50.244,3,41
-1.8052,0.3447,-1.0698,-131.341,3.841,49.512,3,41
-1.4761,0.3501,-0.4902,-88.841,-27.988,46.098,3,41
-1.2632,0.5488,0.2432,-67.439,-47.500,36.707,3,41
-1.0034,0.4590,0.8872,-47.378,-55.976,26.768,3,41
-0.7573,0.4551,1.4575,-28.720,-62.500,19.085,3,41
-0.6211,0.4033,1.7495,6.585,-57.927,16.829,3,41
-0.3818,0.3472,2.0000,24.207,-59.695,13.780,3,41
-0.1714,0.3535,2.0576,38.537,-59.817,11.768,3,41
0.0049,0.3994,2.0518,42.683,-59.085,9.756,3,41
0.1309,0.4541,1.9707,29.756,-58.415,7.744,3,41
0.1519,0.4385,1.8032,5.305,-55.793,8.720,3,41
0.0757,0.3477,1.5308,-19.939,-50.183,12.134,3,41
-0.0806,0.2451,1.1670,-38.293,-42.256,17.256,3,41
-0.3667,0.1880,0.6699,-50.915,-32.683,20.549,3,41
-0.7202,0.2290,0.0591,-60.427,-18.780,19.207,3,41
-0.1216,-0.4243,-0.5171,-70.244,43.171,-1.098,1,90
-0.1245,-0.4370,-0.5156,-66.098,42.927,-1.646,1,90
-0.1235,-0.4546,-0.5078,-61.951,42.988,-2.134,1,90
-0.1187,-0.4834,-0.5107,-56.890,42.927,-2.744,1,90
-0.1255,-0.5049,-0.5166,-52.439,42.866,-3.049,1,90
-0.1245,-0.5283,-0.5088,-48.293,42.256,-3.293,1,90
-0.1211,-0.5474,-0.5059,-44.146,41.646,-3.598,1,90
-0.1177,-0.5859,-0.5122,-40.244,41.098,-3.963,1,90
0.2437,-0.5957,-0.4741,-88.171,31.707,-24.878,2,90
0.2568,-0.5850,-0.4712,-84.024,35.061,-24.817,2,90
0.2720,-0.5757,-0.4473,-80.244,39.085,-24.695,2,90
0.2715,-0.5674,-0.4512,-76.280,42.683,-24.451,2,90
0.2905,-0.5557,-0.4429,-71.341,46.585,-24.207,2,90
0.2988,-0.5586,-0.4209,-66.829,49.756,-23.902,2,90
0.3213,-0.5532,-0.4180,-61.585,52.805,-23.415,2,90
0.3345,-0.5508,-0.4014,-56.280,55.061,-22.378,2,90
-2.4966,2.3555,-0.0283,27.439,-8.110,14.878,3,41
-2.3521,2.3271,0.1924,53.598,-8.232,19.573,3,41
-2.1343,2.1450,0.2925,75.610,-6.646,23.110,3,41
-1.8960,1.7441,0.3940,91.463,0.061,25.915,3,41
-1.6289,1.4097,0.2720,100.549,1.098,25.671,3,41
-1.4824,1.0181,0.1260,92.988,3.049,24.695,3,41
-1.4346,0.6411,0.0557,80.183,7.622,25.854,3,41
-1.4355,0.3228,0.0024,71.098,10.244,27.195,3,41
-0.0991,-0.9556,-0.4697,-16.585,33.963,-9.756,1,90
-0.0957,-0.9966,-0.4658,-15.183,33.415,-10.061,1,90
-0.0908,-1.0298,-0.4692,-13.598,32.683,-10.427,1,90
-0.0869,-1.0688,-0.4585,-11.890,32.073,-11.402,1,90
-0.0850,-1.0996,-0.4692,-11.341,31.280,-11.402,1,90
-0.0791,-1.1367,-0.4707,-9.634,30.061,-11.890,1,90
-0.0659,-1.1636,-0.4585,-8.902,29.573,-12.500,1,90
-0.0654,-1.1787,-0.4619,-8.049,28.841,-12.561,1,90
0.4810,-0.6118,-0.3369,-9.085,48.780,-8.415,2,90
0.4907,-0.6362,-0.3394,-5.244,47.256,-6.463,2,90
0.4980,-0.6504,-0.3354,-1.098,46.159,-4.207,2,90
0.5049,-0.6680,-0.3311,2.805,45.061,-2.439,2,90
0.5112,-0.6880,-0.3276,6.707,44.512,-0.305,2,90
0.5166,-0.7051,-0.3271,10.244,43.537,1.524,2,90
0.5171,-0.7280,-0.3286,13.659,42.561,3.476,2,90
0.5156,-0.7524,-0.3208,16.768,42.256,5.122,2,90
-1.5811,0.3613,0.2886,69.390,44.268,6.768,3,41
-1.5840,0.3472,0.3091,70.854,48.232,6.829,3,41
-1.5928,0.3384,0.3223,73.232,51.890,7.622,3,41
-1.6113,0.3359,0.3213,76.280,55.244,7.866,3,41
-1.6196,0.3071,0.3286,79.695,57.622,8.171,3,41
-1.6274,0.2461,0.3345,84.451,59.390,7.988,3,41
-1.6274,0.1772,0.3369,89.390,60.915,6.768,3,41
-1.6187,0.0879,0.3408,94.329,62.927,4.573,3,41
-1.6226,-0.0479,0.3564,100.244,65.793,0.000,3,41
-1.6260,-0.0903,0.3706,101.280,66.890,-1.463,3,41
-1.6313,-0.1792,0.3848,102.378,69.085,-4.634,3,41
-1.6333,-0.2739,0.4014,100.427,71.220,-8.354,3,41
-1.6304,-0.3760,0.4194,97.195,73.293,-11.037,3,41
-1.6357,-0.4702,0.4639,92.683,74.878,-14.329,3,41
-1.6333,-0.5620,0.4917,86.951,76.951,-16.341,3,41
-1.6328,-0.6445,0.5229,80.366,79.268,-18.537,3,41
-0.0845,-1.1362,-0.4917,6.463,5.976,15.549,1,90
-0.0986,-1.1318,-0.4868,6.341,4.878,18.720,1,90
-0.1050,-1.1406,-0.4883,6.707,4.451,21.524,1,90
-0.1172,-1.1387,-0.4849,5.854,3.415,24.390,1,90
-0.1416,-1.1406,-0.4785,5.976,2.805,26.951,1,90
-0.1440,-1.1592,-0.4800,4.878,2.073,29.207,1,90
-0.1587,-1.1699,-0.4751,4.268,1.220,31.098,1,90
-0.1631,-1.1772,-0.4688,3.354,1.037,32.866,1,90
-0.9365,-0.2578,-0.0166,9.085,6.768,-2.683,4,41
-0.9365,-0.2578,-0.0166,9.756,7.012,-2.988,4,41
-0.9370,-0.2593,-0.0132,9.939,6.829,-3.110,4,41
-0.9351,-0.2632,-0.0225,10.610,7.012,-2.805,4,41
-0.9355,-0.2666,-0.0166,11.220,7.195,-2.805,4,41
-0.9365,-0.2710,-0.0181,11.585,7.073,-2.622,4,41
-0.9287,-0.2734,-0.0117,11.890,7.012,-2.561,4,41
-0.9297,-0.2866,-0.0107,12.683,7.256,-2.195,4,41
-0.1689,-1.1904,-0.4658,3.171,0.915,34.146,1,90
-0.1694,-1.2041,-0.4634,2.805,0.976,35.183,1,90
-0.1709,-1.2134,-0.4541,2.378,0.793,35.793,1,90
-0.1675,-1.2236,-0.4521,2.317,0.915,35.976,1,90
-0.1699,-1.2300,-0.4502,1.707,1.341,35.793,1,90
-0.1543,-1.2344,-0.4443,1.280,1.280,35.549,1,90
-0.1553,-1.2349,-0.4443,0.488,1.463,35.183,1,90
-0.1475,-1.2339,-0.4390,-0.793,1.646,34.512,1,90
-0.9292,-0.3013,-0.0103,13.232,7.622,-2.317,4,41
-0.9312,-0.3096,-0.0142,13.110,7.561,-1.829,4,41
-0.9331,-0.3232,-0.0107,13.963,7.683,-1.890,4,41
-0.9370,-0.3320,-0.0220,14.146,7.805,-1.768,4,41
-0.9385,-0.3413,-0.0181,14.024,8.110,-1.890,4,41
-0.9404,-0.3511,-0.0234,14.085,8.049,-1.768,4,41
-0.9351,-0.3579,-0.0322,14.329,8.049,-1.707,4,41
-0.9346,-0.3589,-0.0239,15.000,8.354,-1.402,4,41
-0.1230,-1.2319,-0.4395,-2.195,1.768,33.902,1,90
-0.1201,-1.2280,-0.4360,-4.024,1.646,32.988,1,90
-0.1089,-1.2158,-0.4248,-6.098,1.585,32.012,1,90
-0.0947,-1.2075,-0.4185,-8.049,1.341,31.220,1,90
-0.0806,-1.1914,-0.4141,-10.061,0.854,29.817,1,90
-0.0757,-1.1772,-0.4155,-12.317,0.549,28.537,1,90
-0.0732,-1.1592,-0.3979,-14.634,0.305,27.622,1,90
-0.0649,-1.1367,-0.3994,-17.256,-0.488,26.402,1,90
-0.9351,-0.3677,-0.0215,14.634,8.293,-1.159,4,41
-0.9307,-0.3618,-0.0239,14.512,8.415,-1.098,4,41
-0.9297,-0.3613,-0.0244,14.207,8.293,-1.037,4,41
-0.9248,-0.3584,-0.0176,13.902,8.110,-0.915,4,41
-0.9263,-0.3521,-0.0371,13.902,8.110,-0.793,4,41
-0.9282,-0.3306,-0.0376,14.024,8.537,-0.915,4,41
-0.9336,-0.3110,-0.0391,14.512,8.171,-0.549,4,41
-0.9351,-0.2959,-0.0269,14.390,8.232,-0.976,4,41
-0.0557,-1.1182,-0.4004,-19.695,-1.768,25.244,1,90
-0.0566,-1.0952,-0.3838,-22.561,-2.500,24.085,1,90
-0.0503,-1.0659,-0.3960,-25.061,-3.720,22.927,1,90
-0.0405,-1.0527,-0.3901,-28.110,-4.939,22.500,1,90
-0.0474,-1.0249,-0.3848,-30.793,-5.915,21.585,1,90
-0.0420,-0.9980,-0.3774,-34.451,-7.927,21.098,1,90
-0.0391,-0.9858,-0.3867,-35.732,-8.415,21.098,1,90
-0.0410,-0.9741,-0.3813,-38.293,-9.695,21.037,1,90
0.4502,-1.1934,-0.3218,-31.890,-3.841,12.744,2,90
0.4443,-1.1865,-0.3198,-33.537,-4.756,11.341,2,90
0.4326,-1.1812,-0.3218,-35.427,-5.793,9.695,2,90
0.4351,-1.1680,-0.3252,-37.073,-6.646,7.561,2,90
0.4316,-1.1577,-0.3296,-39.329,-7.561,5.976,2,90
0.4272,-1.1475,-0.3306,-40.427,-8.476,3.598,2,90
0.4341,-1.1421,-0.3291,-42.256,-9.573,1.341,2,90
0.4434,-1.1343,-0.3281,-43.537,-10.244,-1.402,2,90
-0.5303,-0.3413,-0.0195,-51.159,50.366,-58.293,3,41
-0.5269,-0.3828,-0.0552,-56.341,47.561,-56.341,3,41
-0.5420,-0.4019,-0.1162,-61.524,46.341,-55.000,3,41
-0.5371,-0.4033,-0.1831,-66.280,46.707,-54.512,3,41
-0.5444,-0.3809,-0.2256,-69.207,50.427,-54.573,3,41
-0.4780,-0.3638,-0.3735,-77.378,49.512,-53.598,3,41
-0.4780,-0.3623,-0.4351,-86.280,49.695,-51.159,3,41
-0.4956,-0.3364,-0.4937,-93.537,52.012,-49.451,3,41
0.4438,-1.1118,-0.3369,-45.427,-11.829,-5.244,2,90
