ax,ay,az,gx,gy,gz,slot,label
0.4482,0.8940,-0.2510,72.073,2.012,10.366,1,11
0.4448,0.8853,-0.2510,70.732,1.768,10.976,1,11
0.4351,0.8682,-0.2642,68.780,1.463,12.256,1,11
0.4297,0.8604,-0.2837,66.463,1.463,13.476,1,11
0.4204,0.8442,-0.2783,63.598,1.646,14.390,1,11
0.4141,0.8237,-0.2891,60.854,2.073,15.427,1,11
0.4067,0.8101,-0.3013,57.805,2.866,16.463,1,11
0.3994,0.7930,-0.3042,54.878,4.207,16.890,1,11
0.6396,-0.8301,0.0459,-30.549,28.354,-96.524,2,11
0.6436,-0.8149,0.0259,-29.268,28.049,-96.159,2,11
0.6392,-0.8096,0.0254,-27.805,27.683,-95.976,2,11
0.6411,-0.7979,0.0151,-26.463,27.561,-95.183,2,11
0.6436,-0.7891,0.0156,-24.512,27.378,-94.634,2,11
0.6353,-0.7822,0.0024,-22.622,26.890,-94.024,2,11
0.6494,-0.7715,-0.0073,-20.854,26.463,-93.049,2,11
0.6509,-0.7627,-0.0181,-19.085,26.098,-92.500,2,11
0.3516,0.7188,-0.3574,21.951,19.634,11.707,1,11
0.3486,0.7075,-0.3638,18.720,21.585,10.854,1,11
0.3525,0.6963,-0.3633,16.280,23.293,9.878,1,11
0.3589,0.6885,-0.3618,13.841,24.878,8.720,1,11
0.3521,0.6846,-0.3711,11.707,26.524,7.683,1,11
0.3545,0.6846,-0.3579,10.427,28.232,6.707,1,11
0.3618,0.6733,-0.3613,9.085,28.902,5.488,1,11
0.3623,0.6782,-0.3657,8.171,29.634,4.268,1,11
0.6553,-0.7544,-0.0283,-15.671,25.427,-90.854,2,11
0.6548,-0.7461,-0.0308,-13.232,25.000,-90.122,2,11
0.6538,-0.7432,-0.0386,-12.134,24.939,-89.634,2,11
0.6655,-0.7378,-0.0381,-9.207,24.390,-88.293,2,11
0.6606,-0.7339,-0.0366,-8.110,24.024,-87.622,2,11
0.6650,-0.7383,-0.0483,-5.732,23.171,-86.341,2,11
0.6724,-0.7422,-0.0576,-4.390,22.683,-85.183,2,11
