ax,ay,az,gx,gy,gz,slot,label
0.7998,1.0151,-1.4331,-30.427,10.183,-312.683,1,11
0.7954,1.1138,-1.4370,-26.585,9.146,-313.049,1,11
0.7876,1.2144,-1.4443,-23.293,8.963,-312.683,1,11
0.7871,1.3008,-1.4604,-21.098,9.451,-311.402,1,11
0.7803,1.3955,-1.4570,-18.110,10.427,-308.963,1,11
0.7886,1.4771,-1.4492,-15.610,12.195,-305.488,1,11
0.7920,1.5610,-1.4434,-11.341,13.841,-301.707,1,11
0.7930,1.6558,-1.4272,-6.524,16.037,-296.951,1,11
0.8091,1.7432,-1.3965,-1.646,18.537,-291.220,1,11
0.8169,1.8286,-1.3569,3.902,20.366,-285.244,1,11
0.8345,1.9082,-1.3066,11.098,21.829,-278.232,1,11
0.8511,1.9937,-1.2817,18.537,22.317,-270.732,1,11
0.8677,2.0908,-1.2349,27.195,22.195,-262.683,1,11
0.8813,2.1743,-1.1953,36.220,20.671,-253.963,1,11
0.8979,2.2720,-1.1411,45.915,18.110,-244.756,1,11
0.9043,2.3521,-1.0894,54.817,14.451,-234.756,1,11
0.9053,2.4321,-1.0752,65.122,10.427,-224.268,1,11
0.9058,2.5239,-1.0469,74.878,5.549,-213.354,1,11
0.8940,2.6055,-1.0332,83.841,0.671,-202.012,1,11
0.8765,2.6763,-1.0083,92.683,-4.512,-190.366,1,11
0.8535,2.7607,-0.9985,100.000,-8.963,-178.476,1,11
0.8096,2.8198,-0.9834,105.732,-13.049,-166.037,1,11
0.7817,2.8701,-0.9790,110.793,-16.159,-153.598,1,11
0.7505,2.9077,-0.9756,114.695,-17.988,-140.488,1,11
0.7168,2.9517,-0.9688,118.598,-18.598,-127.622,1,11
0.6909,2.9849,-0.9624,121.098,-17.683,-114.573,1,11
0.6777,3.0049,-0.9580,123.049,-15.671,-102.012,1,11
0.6563,3.0225,-0.9517,124.695,-12.439,-89.512,1,11
0.6357,3.0283,-0.9526,125.671,-9.268,-77.866,1,11
0.6367,3.0342,-0.9653,127.561,-5.427,-66.159,1,11
0.6294,3.0366,-0.9707,129.695,-1.463,-55.732,1,11
0.6265,3.0352,-0.9653,131.524,2.195,-45.000,1,11
0.6240,3.0327,-0.9600,133.841,5.488,-34.878,1,11
0.6226,3.0200,-0.9443,135.976,8.598,-25.000,1,11
0.6133,3.0039,-0.9248,138.598,10.854,-15.671,1,11
0.6133,2.9927,-0.9004,140.854,13.354,-5.976,1,11
0.6084,2.9766,-0.8721,143.354,15.305,3.049,1,11
0.6011,2.9575,-0.8374,145.366,17.561,12.134,1,11
0.5967,2.9355,-0.7969,146.890,19.756,20.976,1,11
0.5898,2.9097,-0.7563,148.293,22.744,30.000,1,11
0.5874,2.8550,-0.6890,149.390,27.378,44.024,1,11
0.5752,2.8320,-0.6738,149.329,29.268,48.902,1,11
0.5698,2.7793,-0.6367,149.451,33.293,59.268,1,11
0.5723,2.7188,-0.6074,149.512,37.744,69.817,1,11
0.5698,2.6504,-0.5845,148.537,42.439,81.159,1,11
0.5664,2.5791,-0.5464,148.598,47.805,92.195,1,11
0.5684,2.4961,-0.5283,148.049,52.500,103.537,1,11
0.5659,2.3579,-0.4819,147.439,59.085,120.061,1,11
0.5688,1.5601,-0.2285,136.220,70.793,182.073,1,11
0.5610,1.5000,-0.2026,133.354,69.329,184.390,1,11
0.5591,1.4360,-0.1738,129.634,67.073,186.341,1,11
0.5308,1.3843,-0.1553,125.732,64.573,188.415,1,11
0.5249,1.3242,-0.1440,121.707,61.951,189.207,1,11
0.5034,1.2769,-0.1216,117.683,59.024,189.756,1,11
0.4883,1.2290,-0.1108,113.537,55.610,190.000,1,11
0.4570,1.1899,-0.1016,109.329,52.134,190.061,1,11
0.2197,0.9189,-0.0864,76.159,27.500,191.707,1,11
0.1846,0.9009,-0.0771,72.988,25.915,191.463,1,11
0.1567,0.8901,-0.0703,70.366,24.451,191.402,1,11
0.1392,0.8687,-0.0791,67.988,22.866,190.854,1,11
0.1099,0.8569,-0.0625,66.220,21.463,190.122,1,11
0.0889,0.8398,-0.0474,64.207,20.305,189.390,1,11
0.0708,0.8228,-0.0381,63.293,19.329,188.841,1,11
0.0532,0.8008,-0.0376,62.317,18.232,187.927,1,11
-0.0781,0.4556,0.0723,64.390,10.366,183.110,1,11
-0.0928,0.4097,0.0933,64.390,9.512,182.561,1,11
-0.0947,0.3613,0.0938,63.659,9.329,182.561,1,11
-0.1064,0.3032,0.1138,63.171,9.207,182.378,1,11
-0.1118,0.2490,0.1157,62.012,9.573,182.073,1,11
-0.1147,0.1997,0.1309,60.488,9.878,182.256,1,11
-0.1128,0.1494,0.1357,58.902,10.793,181.829,1,11
-0.1221,0.0918,0.1348,56.829,11.768,181.646,1,11
-0.0400,-0.6479,0.0723,-46.341,77.744,166.341,1,11
-0.0273,-0.6816,0.0649,-54.207,79.634,165.244,1,11
-0.0142,-0.6963,0.0449,-61.829,79.817,163.720,1,11
0.0020,-0.7119,0.0488,-67.561,78.232,162.012,1,11
0.0137,-0.7256,0.0522,-72.805,74.451,160.305,1,11
0.0420,-0.7280,0.0454,-77.134,69.207,158.232,1,11
0.0576,-0.7324,0.0625,-81.098,62.256,156.341,1,11
0.0791,-0.7275,0.0679,-84.573,54.756,153.963,1,11
0.1997,-0.6958,0.1411,-104.512,0.122,132.317,1,11
0.2061,-0.6914,0.1362,-104.939,-2.561,129.939,1,11
0.2056,-0.6797,0.1289,-105.610,-5.610,126.829,1,11
0.2065,-0.6763,0.1309,-107.012,-8.963,123.354,1,11
0.2163,-0.6748,0.1328,-108.415,-12.378,119.817,1,11
0.2256,-0.6768,0.1221,-110.122,-15.549,115.793,1,11
0.2407,-0.6709,0.1157,-111.037,-18.598,111.951,1,11
0.2446,-0.6709,0.0889,-111.524,-21.341,107.988,1,11
0.3892,-0.5356,-0.1182,-83.049,-44.878,68.171,1,11
0.4214,-0.5278,-0.1841,-74.146,-49.695,62.683,1,11
0.4614,-0.5234,-0.2651,-63.415,-55.610,57.744,1,11
0.4854,-0.5205,-0.3516,-50.244,-62.561,52.622,1,11
0.5264,-0.5244,-0.4746,-32.378,-71.463,48.232,1,11
0.5679,-0.5664,-0.6226,-3.415,-83.232,44.756,1,11
0.6230,-0.5166,-0.6616,22.378,-98.171,40.732,1,11
0.6763,-0.4912,-0.7583,41.220,-111.768,34.207,1,11
0.4893,-0.5859,-1.5586,96.524,-60.671,-78.476,1,11
0.5195,-0.6128,-1.5757,100.183,-59.573,-82.561,1,11
0.5864,-0.6738,-1.6201,106.037,-56.280,-90.549,1,11
0.6670,-0.7417,-1.6353,110.366,-52.744,-98.354,1,11
0.7192,-0.7881,-1.6294,114.634,-48.841,-105.671,1,11
0.7729,-0.8179,-1.6201,116.402,-44.634,-112.683,1,11
0.8047,-0.8203,-1.6191,117.134,-39.512,-119.512,1,11
0.8242,-0.8101,-1.5923,115.061,-34.207,-125.610,1,11
0.8901,-0.7090,-1.1245,46.524,-15.793,-154.634,1,11
0.8970,-0.6992,-1.0938,33.354,-17.134,-159.634,1,11
