ax,ay,az,gx,gy,gz,slot,label
0.6587,1.8125,0.0718,27.317,-21.585,84.024,1,10
0.6167,1.7715,0.0488,25.610,-22.744,98.841,1,10
0.5776,1.6919,-0.0005,24.451,-22.195,110.244,1,10
0.5488,1.5947,-0.0400,23.902,-19.634,117.744,1,10
0.5176,1.4790,-0.0737,23.110,-15.671,121.768,1,10
0.4941,1.3540,-0.1006,21.951,-9.695,122.500,1,10
0.4858,1.2349,-0.1284,20.732,-2.683,120.915,1,10
0.4736,1.1177,-0.1475,18.110,4.512,117.439,1,10
0.8906,0.0298,-0.3101,-81.707,30.305,69.695,1,10
0.9077,-0.0005,-0.3291,-84.573,27.988,65.366,1,10
0.9155,-0.0171,-0.3677,-86.402,25.915,61.585,1,10
0.9165,-0.0293,-0.4097,-86.768,23.232,57.439,1,10
0.9194,-0.0430,-0.4551,-87.134,20.976,53.963,1,10
0.9238,-0.0430,-0.4761,-86.463,18.171,50.854,1,10
0.9063,-0.0430,-0.4922,-85.427,15.427,47.744,1,10
0.8931,-0.0400,-0.5195,-82.866,12.805,44.817,1,10
0.6611,-0.0366,-0.7539,-18.902,4.573,11.951,1,10
0.6597,-0.0449,-0.7612,-14.634,5.244,9.024,1,10
0.6260,-0.0474,-0.7764,-1.951,8.293,0.244,1,10
0.6133,-0.0469,-0.7808,2.317,9.512,-2.378,1,10
0.5947,-0.0405,-0.7788,9.939,11.890,-8.232,1,10
0.5703,-0.0430,-0.7744,17.805,13.780,-13.598,1,10
0.5571,-0.0303,-0.7583,25.061,16.951,-18.780,1,10
0.5405,-0.0366,-0.7471,32.195,19.390,-24.268,1,10
0.4966,0.0981,-0.6099,85.549,36.098,-73.293,1,10
0.5020,0.1279,-0.5815,86.829,37.317,-79.329,1,10
0.5137,0.1709,-0.5547,87.622,38.415,-84.634,1,10
0.5132,0.1968,-0.5425,88.841,38.659,-89.817,1,10
0.5171,0.2568,-0.5254,90.366,39.390,-94.207,1,10
0.5205,0.3169,-0.4893,90.610,39.756,-98.232,1,10
0.5273,0.3701,-0.4629,89.878,40.244,-101.646,1,10
0.5264,0.4302,-0.4307,89.024,40.488,-104.695,1,10
0.5269,0.4927,-0.4077,89.085,40.976,-107.195,1,10
0.5288,0.5552,-0.3755,88.659,41.280,-109.451,1,10
0.5337,0.6128,-0.3408,88.415,41.829,-110.976,1,10
0.5386,0.6675,-0.3105,88.841,41.524,-112.500,1,10
0.5420,0.7300,-0.2817,88.780,41.402,-114.146,1,10
0.5479,0.7739,-0.2476,88.537,40.793,-115.000,1,10
0.5459,0.8057,-0.2183,88.049,40.122,-115.305,1,10
0.5532,0.8418,-0.2104,87.256,39.024,-115.183,1,10
0.5073,0.9116,-0.1431,93.841,16.524,-97.988,1,10
0.4985,0.9434,-0.1387,95.122,12.622,-96.707,1,10
