ax,ay,az,gx,gy,gz,slot,label
0.4111,-0.9282,0.1416,0.061,-18.110,27.988,2,12
0.4092,-0.9316,0.1484,-0.244,-18.232,28.232,2,12
0.4053,-0.9297,0.1484,0.000,-17.988,28.232,2,12
0.4043,-0.9277,0.1665,0.915,-17.744,28.354,2,12
0.4048,-0.9326,0.1699,0.854,-17.134,28.354,2,12
0.4072,-0.9375,0.1855,1.159,-16.890,28.232,2,12
0.4126,-0.9272,0.1860,0.671,-16.829,28.171,2,12
0.4131,-0.9292,0.1938,0.671,-16.341,27.927,2,12
0.4121,-0.9326,0.1978,-0.183,-16.341,27.500,2,12
0.4175,-0.9370,0.2080,0.183,-16.463,26.951,2,12
0.4214,-0.9448,0.2227,-0.183,-16.890,26.280,2,12
0.4189,-0.9482,0.2236,-0.488,-17.256,25.610,2,12
0.4233,-0.9482,0.2358,-0.305,-17.744,24.939,2,12
0.4307,-0.9458,0.2456,-0.732,-18.415,23.720,2,12
0.4331,-0.9590,0.2598,-1.098,-18.902,22.683,2,12
0.4263,-0.9531,0.2661,-1.585,-19.695,21.463,2,12
0.4312,-0.9634,0.2622,-2.317,-20.305,20.549,2,12
0.4375,-0.9609,0.2627,-2.866,-21.341,19.329,2,12
0.4360,-0.9678,0.2710,-3.232,-21.890,18.476,2,12
0.4370,-0.9668,0.2666,-3.537,-23.049,17.378,2,12
0.4385,-0.9722,0.2539,-3.598,-23.659,16.524,2,12
0.4404,-0.9712,0.2563,-3.780,-24.512,15.488,2,12
0.4414,-0.9795,0.2607,-4.146,-25.061,14.756,2,12
0.4395,-0.9814,0.2515,-4.756,-25.061,14.146,2,12
0.1841,0.9243,-0.2466,-0.610,13.415,-53.049,1,12
0.1909,0.9331,-0.2520,-0.671,13.354,-51.585,1,12
0.1865,0.9604,-0.2427,-1.341,12.866,-49.573,1,12
0.1812,0.9868,-0.2441,-1.951,12.500,-47.317,1,12
0.1904,1.0229,-0.2466,-2.988,11.829,-43.659,1,12
0.1899,1.0391,-0.2446,-3.171,12.195,-42.500,1,12
0.1855,1.0864,-0.2510,-3.780,12.134,-39.451,1,12
0.1807,1.1216,-0.2485,-4.146,12.256,-36.646,1,12
0.1841,1.1548,-0.2505,-4.329,12.500,-34.207,1,12
0.1821,1.1719,-0.2529,-4.390,12.744,-31.890,1,12
0.1807,1.1943,-0.2529,-4.390,12.988,-28.720,1,12
0.1846,1.2134,-0.2607,-4.634,12.805,-25.793,1,12
0.1855,1.2212,-0.2612,-4.695,12.622,-22.683,1,12
0.1797,1.2344,-0.2593,-5.244,12.744,-19.268,1,12
0.1855,1.2437,-0.2627,-5.793,12.866,-16.037,1,12
0.1855,1.2456,-0.2627,-6.341,12.622,-12.439,1,12
0.4751,-0.9116,0.2451,-1.829,-6.768,7.073,2,12
0.4805,-0.9092,0.2573,-1.402,-5.793,7.500,2,12
0.4824,-0.9268,0.2554,-0.976,-5.183,7.744,2,12
0.4878,-0.9365,0.2622,0.000,-4.390,8.476,2,12
0.4868,-0.9443,0.2651,0.427,-3.720,8.598,2,12
0.4951,-0.9580,0.2749,1.098,-2.561,9.024,2,12
0.4927,-0.9639,0.2905,1.524,-1.951,9.634,2,12
0.5034,-0.9663,0.2969,1.585,-0.915,9.756,2,12
0.4956,-0.9805,0.3086,1.707,0.305,9.878,2,12
0.4927,-0.9775,0.3179,1.220,1.159,10.122,2,12
0.4980,-0.9893,0.3154,0.854,2.439,10.549,2,12
0.4912,-1.0005,0.3257,0.061,3.659,10.671,2,12
0.4976,-1.0112,0.3345,-0.732,4.451,11.159,2,12
0.4902,-1.0210,0.3364,-1.037,5.610,11.524,2,12
0.4893,-1.0322,0.3315,-1.951,6.280,12.317,2,12
0.4829,-1.0439,0.3311,-2.439,7.134,12.927,2,12
0.3223,1.0659,-0.2446,-27.500,11.341,37.073,1,12
0.3291,1.0649,-0.2480,-26.707,10.000,37.256,1,12
0.3281,1.0562,-0.2505,-25.915,8.780,37.195,1,12
0.3169,1.0581,-0.2568,-25.183,7.561,37.073,1,12
0.3140,1.0503,-0.2529,-24.512,6.951,37.439,1,12
0.3149,1.0483,-0.2554,-23.598,6.037,37.500,1,12
0.3071,1.0303,-0.2710,-22.439,5.244,37.866,1,12
0.3052,1.0313,-0.2725,-21.585,5.000,37.988,1,12
0.1895,1.0239,-0.3281,6.402,-8.780,35.671,1,12
0.1870,1.0195,-0.3379,8.293,-9.207,35.244,1,12
0.1748,1.0107,-0.3296,9.939,-9.695,35.061,1,12
0.1743,0.9922,-0.3306,10.732,-9.512,34.817,1,12
0.1685,0.9868,-0.3340,12.073,-9.939,34.451,1,12
0.1665,0.9722,-0.3340,13.293,-10.427,34.390,1,12
0.1655,0.9590,-0.3276,14.390,-10.854,34.268,1,12
0.1660,0.9507,-0.3281,15.488,-11.280,34.024,1,12
0.1411,0.7808,-0.3218,21.524,-16.402,34.939,1,12
0.1367,0.7549,-0.3174,21.768,-17.134,34.451,1,12
0.1353,0.7300,-0.3179,22.317,-17.805,33.780,1,12
0.1377,0.7222,-0.3105,22.195,-18.232,33.476,1,12
0.1304,0.7002,-0.3145,21.768,-18.720,32.744,1,12
0.1362,0.6924,-0.3164,21.524,-19.329,32.134,1,12
0.1333,0.6616,-0.3101,21.280,-20.061,31.524,1,12
0.1250,0.6577,-0.3062,20.183,-20.488,30.732,1,12
0.3721,-0.7744,0.3623,3.049,10.122,-4.207,2,12
