ax,ay,az,gx,gy,gz,slot,label
0.4399,0.6113,-0.5679,73.232,70.610,62.805,2,11
0.4536,0.5918,-0.5347,74.634,70.305,59.939,2,11
0.4668,0.5796,-0.5264,75.305,70.061,58.659,2,11
0.4717,0.5586,-0.4941,76.890,69.329,53.902,2,11
0.4839,0.5400,-0.4648,77.561,68.537,51.220,2,11
0.4907,0.5239,-0.4502,78.110,67.805,48.232,2,11
0.4980,0.5098,-0.4399,78.415,66.463,45.366,2,11
0.5068,0.4897,-0.4209,78.963,65.671,42.317,2,11
1.4375,0.1138,-0.8057,14.390,-162.927,57.134,1,11
1.4629,0.1265,-0.8120,14.756,-166.646,57.378,1,11
1.4834,0.1519,-0.8257,15.915,-170.061,57.439,1,11
1.5103,0.1782,-0.8320,16.463,-173.537,57.866,1,11
1.5249,0.1987,-0.8584,17.439,-175.610,58.293,1,11
1.5474,0.2422,-0.8691,17.561,-178.293,58.902,1,11
1.5630,0.2695,-0.8745,17.744,-180.976,59.512,1,11
1.5801,0.3086,-0.8882,17.378,-182.927,60.366,1,11
-0.9692,-0.1670,0.0957,-24.390,-4.817,-21.890,3,90
-0.9775,-0.1572,0.0859,-26.098,-5.000,-22.927,3,90
-0.9761,-0.1587,0.0845,-28.415,-5.122,-23.780,3,90
-0.9839,-0.1836,0.0723,-29.268,-4.329,-24.878,3,90
-0.9824,-0.2168,0.0527,-29.024,-3.598,-25.549,3,90
-0.9878,-0.2305,0.0352,-28.476,-2.439,-26.402,3,90
-0.9883,-0.2451,0.0200,-28.293,-1.951,-27.256,3,90
-0.9795,-0.2583,0.0195,-27.988,-1.585,-28.049,3,90
0.5386,0.4131,-0.2856,81.707,56.037,13.537,2,11
0.5483,0.4111,-0.2798,82.439,54.512,10.000,2,11
0.5449,0.4058,-0.2612,83.049,52.805,6.768,2,11
0.5474,0.3892,-0.2520,84.024,51.220,3.415,2,11
0.5518,0.3838,-0.2412,84.878,49.634,-0.122,2,11
0.5542,0.3721,-0.2388,85.549,47.561,-3.415,2,11
0.5605,0.3691,-0.2227,86.280,45.854,-6.951,2,11
0.5518,0.3604,-0.2202,87.256,44.573,-9.939,2,11
1.8135,0.5190,-0.9941,1.463,-201.220,71.402,1,11
1.8022,0.5293,-0.9917,-1.829,-201.402,73.902,1,11
1.7935,0.5454,-0.9878,-5.244,-201.159,76.585,1,11
1.7754,0.5557,-0.9775,-10.061,-201.402,78.841,1,11
1.7437,0.5493,-0.9702,-15.427,-200.976,81.280,1,11
1.6895,0.5381,-0.9629,-23.780,-200.671,84.268,1,11
1.6440,0.5337,-0.9385,-30.366,-200.488,86.585,1,11
1.6177,0.5107,-0.9209,-36.585,-200.549,88.598,1,11
-1.0151,-0.2729,0.0640,-24.024,4.573,-33.659,3,90
-1.0122,-0.2759,0.0571,-23.598,4.634,-33.963,3,90
-1.0098,-0.2715,0.0698,-22.927,6.098,-34.512,3,90
-0.9946,-0.2617,0.0737,-20.793,7.561,-35.061,3,90
-0.9849,-0.2495,0.0747,-19.634,8.963,-34.878,3,90
-0.9775,-0.2480,0.0708,-18.293,9.817,-34.817,3,90
