ax,ay,az,gx,gy,gz,slot,label
-1.0679,1.0347,0.6362,-116.829,156.707,230.183,1,21
-1.1362,0.9326,0.6685,-107.744,164.024,228.841,1,21
-1.1719,0.8535,0.6782,-102.561,167.439,227.378,1,21
-1.2642,0.5859,0.7051,-83.415,177.073,218.841,1,21
-1.2915,0.3857,0.7432,-67.927,184.024,209.817,1,21
-1.3013,0.1821,0.8135,-51.951,189.817,198.720,1,21
-1.2822,-0.0176,0.8696,-37.622,195.122,186.524,1,21
-1.2651,-0.2188,0.9365,-26.646,199.512,174.695,1,21
-0.8652,-0.7329,0.7402,-28.293,-14.024,-56.341,2,21
-0.8726,-0.6724,0.7432,-41.402,-14.695,-53.110,2,21
-0.8896,-0.5996,0.7437,-52.744,-14.695,-50.488,2,21
-0.9009,-0.5264,0.7319,-62.988,-15.122,-47.927,2,21
-0.9121,-0.4517,0.7207,-72.256,-14.817,-45.305,2,21
-0.9268,-0.3765,0.7061,-81.159,-14.268,-42.195,2,21
-0.9316,-0.3203,0.6899,-90.183,-13.780,-38.354,2,21
-0.9561,-0.2529,0.6748,-99.085,-13.110,-33.354,2,21
-1.2515,-0.4111,0.9775,-20.000,201.159,162.256,1,21
-1.2310,-0.6011,1.0117,-17.744,201.159,150.122,1,21
-1.2007,-0.7598,1.0039,-19.512,199.695,138.963,1,21
-1.1709,-0.8936,0.9834,-23.476,197.988,129.390,1,21
-1.1372,-1.0039,0.9746,-29.817,195.976,121.341,1,21
-1.0864,-1.0923,0.9790,-38.780,192.805,115.122,1,21
-1.0532,-1.1587,0.9624,-50.610,188.171,109.695,1,21
-1.0342,-1.2056,0.9312,-63.598,182.866,104.207,1,21
-0.9766,-0.2139,0.6411,-109.390,-12.439,-28.476,2,21
-0.9902,-0.1733,0.6196,-120.854,-11.402,-22.866,2,21
-0.9917,-0.1401,0.5928,-131.829,-10.366,-17.317,2,21
-1.0073,-0.1357,0.5557,-141.829,-8.293,-12.012,2,21
-0.9990,-0.1255,0.5488,-150.183,-6.220,-7.378,2,21
-0.9902,-0.1050,0.5220,-157.073,-3.476,-3.293,2,21
-0.9800,-0.0884,0.5078,-162.134,-1.402,0.610,2,21
-0.9805,-0.0605,0.4956,-166.220,0.366,3.780,2,21
-1.0366,-1.2402,0.8511,-76.951,175.915,98.598,1,21
-1.0278,-1.2290,0.7466,-88.110,166.707,92.012,1,21
-1.0244,-1.1733,0.6313,-95.915,158.780,86.585,1,21
-0.9902,-1.0874,0.5557,-100.366,150.610,82.317,1,21
-0.9521,-0.9985,0.5156,-99.268,141.341,79.878,1,21
-0.9272,-0.8989,0.4932,-93.537,129.329,78.293,1,21
-0.9116,-0.8037,0.4697,-83.537,116.829,76.098,1,21
-0.9121,-0.7231,0.4326,-70.122,102.988,73.476,1,21
-0.9580,-0.0332,0.4707,-169.573,1.646,7.317,2,21
-0.9414,-0.0112,0.4590,-173.232,1.768,10.061,2,21
-0.9233,0.0088,0.4526,-175.549,1.463,12.439,2,21
-0.9009,0.0283,0.4492,-177.439,-0.183,15.000,2,21
-0.8979,0.0518,0.4458,-178.780,-2.805,17.805,2,21
-0.8960,0.0688,0.4536,-180.671,-6.585,20.549,2,21
-0.8862,0.0850,0.4512,-182.805,-10.976,23.598,2,21
-0.8843,0.1021,0.4585,-185.183,-15.488,26.037,2,21
-0.9058,-0.6660,0.3916,-53.232,88.537,69.085,1,21
-0.8979,-0.6226,0.3540,-32.378,74.024,61.646,1,21
-0.8755,-0.5718,0.3223,-8.841,60.244,52.439,1,21
-0.8398,-0.5347,0.2896,16.220,47.256,42.439,1,21
-0.8042,-0.4961,0.3159,40.427,36.341,31.951,1,21
-0.7549,-0.4731,0.3394,61.280,27.683,22.012,1,21
-0.7168,-0.4717,0.3574,79.146,21.585,12.805,1,21
-0.6763,-0.4932,0.3657,94.512,17.195,4.146,1,21
