ax,ay,az,gx,gy,gz,slot,label
0.4966,0.9082,-0.5000,-12.012,-28.293,4.268,1,13
0.4971,0.8975,-0.5015,-11.585,-27.866,5.854,1,13
0.4980,0.8921,-0.4912,-10.122,-27.683,7.439,1,13
0.5049,0.8760,-0.4844,-8.780,-27.378,8.841,1,13
0.5010,0.8682,-0.4795,-7.805,-27.134,10.000,1,13
0.5015,0.8530,-0.4712,-6.463,-26.646,11.951,1,13
0.5044,0.8311,-0.4727,-4.878,-26.646,12.927,1,13
0.5049,0.8193,-0.4565,-3.902,-26.341,14.207,1,13
0.5083,0.8003,-0.4438,-1.951,-25.976,15.122,1,13
0.5137,0.7886,-0.4341,-0.671,-25.976,15.854,1,13
0.5142,0.7729,-0.4194,0.671,-25.976,16.585,1,13
0.5195,0.7578,-0.4214,2.012,-25.732,17.256,1,13
0.5254,0.7422,-0.4126,3.598,-25.488,17.561,1,13
0.5264,0.7241,-0.3896,4.756,-25.671,18.049,1,13
0.5322,0.7129,-0.3823,5.976,-25.427,18.354,1,13
0.5420,0.7046,-0.3789,7.256,-25.366,18.415,1,13
0.5469,0.6919,-0.3691,8.232,-25.488,18.841,1,13
0.5566,0.6846,-0.3623,8.963,-25.366,18.841,1,13
0.5527,0.6787,-0.3477,9.329,-25.427,18.902,1,13
0.5601,0.6660,-0.3447,10.549,-25.549,18.780,1,13
0.5605,0.6675,-0.3354,11.220,-25.915,18.598,1,13
0.5684,0.6582,-0.3447,11.890,-25.854,18.598,1,13
0.5625,0.6597,-0.3271,12.683,-25.854,18.720,1,13
0.5610,0.6499,-0.3169,12.927,-26.098,18.537,1,13
0.5610,0.6528,-0.3242,13.598,-26.037,18.537,1,13
0.5645,0.6421,-0.3120,14.695,-26.037,18.232,1,13
0.5610,0.6401,-0.3198,15.000,-26.524,18.171,1,13
0.5649,0.6387,-0.3237,15.610,-26.585,17.988,1,13
0.5591,0.6377,-0.3145,15.915,-26.646,17.805,1,13
0.5566,0.6313,-0.3223,16.098,-26.951,17.744,1,13
0.5557,0.6323,-0.3232,16.098,-26.829,17.561,1,13
0.5552,0.6323,-0.3252,16.220,-26.646,17.195,1,13
0.6665,-0.8447,0.3281,-8.902,-12.012,-8.902,2,13
0.6660,-0.8389,0.3257,-7.561,-11.829,-9.573,2,13
0.6694,-0.8301,0.3247,-6.280,-11.829,-10.366,2,13
0.6646,-0.8164,0.3169,-5.000,-11.768,-11.220,2,13
0.6616,-0.8125,0.3179,-3.537,-11.524,-11.707,2,13
0.6567,-0.8032,0.3105,-2.317,-10.854,-12.561,2,13
0.6646,-0.7974,0.3179,-1.585,-10.183,-13.110,2,13
0.6563,-0.7915,0.3169,-1.341,-9.756,-13.537,2,13
0.6602,-0.7891,0.3066,-0.732,-9.207,-13.780,2,13
0.6548,-0.7886,0.2983,0.183,-9.024,-13.780,2,13
0.6553,-0.7896,0.3057,1.037,-8.963,-14.207,2,13
0.6416,-0.7861,0.3032,1.707,-8.415,-13.902,2,13
0.6445,-0.7915,0.3003,3.902,-8.232,-14.207,2,13
