ax,ay,az,gx,gy,gz,slot,label
0.7485,0.3652,-0.5078,-79.817,-16.768,22.988,1,20
0.7466,0.3652,-0.5098,-80.061,-16.707,21.707,1,20
0.7432,0.3765,-0.5171,-79.573,-16.707,19.512,1,20
0.7437,0.3896,-0.5269,-78.963,-16.768,17.561,1,20
0.7451,0.4033,-0.5347,-77.073,-16.402,15.366,1,20
0.7437,0.4282,-0.5366,-75.427,-15.610,13.232,1,20
0.7378,0.4492,-0.5376,-73.780,-14.878,11.037,1,20
0.7358,0.4741,-0.5410,-71.768,-13.720,8.720,1,20
0.6484,0.6836,-0.4795,58.902,10.000,-13.902,1,20
0.6533,0.6841,-0.4707,57.317,9.451,-12.134,1,20
0.6553,0.6860,-0.4795,55.366,8.780,-10.732,1,20
0.6621,0.6909,-0.4785,53.841,7.927,-9.207,1,20
0.6650,0.6934,-0.4756,51.890,7.256,-7.500,1,20
0.6694,0.6914,-0.4775,50.305,6.463,-5.915,1,20
0.6733,0.6924,-0.4858,48.415,6.037,-4.024,1,20
0.6782,0.6934,-0.4834,46.524,4.817,-2.317,1,20
0.7754,-0.6992,-0.3433,-6.463,1.463,-12.927,2,20
0.7788,-0.6997,-0.3423,-6.585,1.402,-13.476,2,20
0.7822,-0.6982,-0.3447,-6.159,0.793,-14.085,2,20
0.7871,-0.7002,-0.3472,-6.037,0.488,-14.634,2,20
0.7842,-0.6948,-0.3457,-6.280,0.244,-15.122,2,20
0.7896,-0.6914,-0.3438,-6.524,-0.488,-15.854,2,20
0.7886,-0.6934,-0.3564,-6.524,-0.976,-16.280,2,20
0.7964,-0.6851,-0.3540,-6.890,-1.524,-17.195,2,20
0.7075,0.6973,-0.5010,30.671,-0.549,12.256,1,20
0.7026,0.6914,-0.4966,30.305,-1.220,13.537,1,20
0.7104,0.6885,-0.5073,29.512,-1.890,14.634,1,20
0.7173,0.6792,-0.5171,29.634,-2.378,15.976,1,20
0.7080,0.6738,-0.5049,29.146,-3.232,16.768,1,20
0.7183,0.6733,-0.5024,29.146,-3.963,17.805,1,20
0.7231,0.6577,-0.5044,29.695,-4.573,18.659,1,20
0.7256,0.6567,-0.5137,29.207,-5.244,19.634,1,20
0.8066,-0.6807,-0.3545,-7.439,-2.500,-17.561,2,20
0.7983,-0.6787,-0.3599,-7.561,-2.866,-17.866,2,20
0.8105,-0.6729,-0.3604,-7.378,-3.293,-18.415,2,20
0.8101,-0.6655,-0.3599,-8.415,-3.963,-18.598,2,20
0.8169,-0.6567,-0.3730,-8.537,-4.512,-19.024,2,20
0.8184,-0.6567,-0.3789,-9.695,-4.939,-19.207,2,20
0.8242,-0.6484,-0.3867,-10.488,-5.732,-19.146,2,20
0.8379,-0.6489,-0.3784,-10.976,-5.976,-19.268,2,20
0.8594,-0.6426,-0.4160,-20.183,-13.232,-18.659,2,20
0.8608,-0.6396,-0.4170,-20.427,-14.024,-18.293,2,20
0.8633,-0.6357,-0.4175,-20.915,-14.146,-18.232,2,20
0.8657,-0.6309,-0.4199,-20.671,-14.268,-18.049,2,20
0.8691,-0.6299,-0.4224,-20.671,-14.451,-17.805,2,20
0.8691,-0.6372,-0.4233,-20.366,-14.451,-17.866,2,20
0.8687,-0.6313,-0.4214,-20.183,-14.390,-17.500,2,20
0.8730,-0.6294,-0.4346,-19.695,-14.451,-17.073,2,20
0.8687,-0.6289,-0.4370,-14.268,-13.476,-16.159,2,20
0.8589,-0.6338,-0.4443,-13.902,-13.232,-16.220,2,20
0.8560,-0.6396,-0.4360,-13.537,-13.171,-16.220,2,20
0.8467,-0.6362,-0.4438,-13.110,-12.927,-16.402,2,20
0.8486,-0.6460,-0.4492,-12.988,-12.988,-16.280,2,20
0.8369,-0.6460,-0.4434,-12.561,-12.683,-16.524,2,20
0.8291,-0.6484,-0.4468,-12.805,-12.683,-16.829,2,20
0.8296,-0.6543,-0.4585,-12.439,-12.378,-17.378,2,20
0.7871,0.4946,-0.5337,84.451,-35.366,16.829,1,20
0.7808,0.4902,-0.5205,84.634,-35.854,15.976,1,20
0.7808,0.4844,-0.5249,85.000,-36.402,14.878,1,20
0.7725,0.4766,-0.5098,85.000,-37.256,13.780,1,20
0.7656,0.4707,-0.5049,84.939,-38.049,12.378,1,20
0.7651,0.4629,-0.4946,85.305,-39.085,11.341,1,20
0.7593,0.4521,-0.4995,85.244,-40.000,10.366,1,20
0.7573,0.4526,-0.4980,85.305,-41.220,8.841,1,20
0.8188,-0.6504,-0.4575,-12.317,-12.256,-17.683,2,20
0.8086,-0.6523,-0.4575,-12.439,-12.378,-18.049,2,20
0.8057,-0.6460,-0.4604,-12.134,-12.073,-18.598,2,20
0.8066,-0.6436,-0.4590,-12.256,-11.646,-19.268,2,20
0.8047,-0.6362,-0.4585,-12.683,-11.890,-19.695,2,20
0.7979,-0.6396,-0.4609,-12.012,-11.341,-20.061,2,20
0.8013,-0.6299,-0.4634,-11.646,-11.646,-20.549,2,20
0.7925,-0.6289,-0.4595,-11.280,-11.341,-21.159,2,20
0.7241,-0.5957,-0.4932,11.098,-1.707,-41.646,2,20
0.7305,-0.5977,-0.4902,10.732,-0.915,-42.500,2,20
0.7212,-0.5942,-0.4995,10.366,-0.549,-43.780,2,20
0.7231,-0.5938,-0.4971,10.122,0.244,-44.878,2,20
0.7227,-0.6006,-0.4966,10.305,0.854,-45.671,2,20
0.7134,-0.5918,-0.4873,9.756,1.585,-46.646,2,20
0.7119,-0.5850,-0.4863,9.268,2.195,-47.500,2,20
0.7065,-0.5825,-0.4834,9.024,2.866,-48.232,2,20
0.6616,0.4243,-0.4648,80.366,-73.232,-34.451,1,20
0.6636,0.4170,-0.4790,80.427,-75.061,-35.488,1,20
0.6626,0.4126,-0.4771,80.549,-76.585,-36.098,1,20
0.6675,0.4053,-0.4785,80.549,-78.537,-37.134,1,20
0.6709,0.3989,-0.4810,80.061,-80.366,-37.805,1,20
0.6646,0.3896,-0.4829,79.268,-82.744,-38.232,1,20
0.6680,0.3813,-0.4873,79.329,-84.268,-39.085,1,20
0.6729,0.3716,-0.5005,78.841,-86.159,-39.695,1,20
0.7114,-0.5791,-0.4893,8.720,3.293,-49.085,2,20
0.7036,-0.5776,-0.4810,7.927,4.085,-49.695,2,20
0.7021,-0.5713,-0.4819,7.134,4.573,-50.671,2,20
0.6982,-0.5767,-0.4902,6.341,5.305,-51.402,2,20
0.6924,-0.5752,-0.4902,5.427,6.037,-52.317,2,20
0.6899,-0.5728,-0.4893,5.244,6.768,-53.110,2,20
0.6782,-0.5649,-0.4966,5.000,7.439,-53.902,2,20
0.6831,-0.5693,-0.4971,4.634,8.354,-54.878,2,20
