ax,ay,az,gx,gy,gz,slot,label
0.2285,-0.2324,0.0972,33.598,-7.317,22.317,2,10
0.2344,-0.2188,0.0806,33.780,-7.622,24.573,2,10
0.2363,-0.1992,0.0757,34.451,-8.110,26.768,2,10
0.2554,-0.1733,0.0654,35.671,-8.110,29.146,2,10
0.2656,-0.1577,0.0576,36.463,-8.110,31.646,2,10
0.2764,-0.1431,0.0522,37.195,-8.110,34.268,2,10
0.2886,-0.1299,0.0439,38.049,-8.171,36.829,2,10
0.2944,-0.1172,0.0259,39.268,-8.110,39.268,2,10
0.1172,-0.0664,-0.1030,-54.146,-26.524,8.780,1,10
0.1162,-0.0693,-0.1099,-55.061,-26.524,6.463,1,10
0.1191,-0.0718,-0.1064,-56.585,-26.768,3.537,1,10
0.1128,-0.0840,-0.1123,-57.378,-26.646,0.732,1,10
0.1182,-0.0801,-0.1191,-58.720,-26.829,-2.744,1,10
0.1216,-0.0908,-0.1304,-59.817,-26.402,-5.305,1,10
0.1191,-0.0928,-0.1265,-61.280,-26.402,-8.476,1,10
0.1235,-0.1055,-0.1299,-62.439,-25.915,-11.159,1,10
0.3081,-0.1113,0.0176,40.000,-8.049,41.768,2,10
0.3286,-0.1055,0.0054,41.159,-8.232,44.573,2,10
0.3320,-0.1035,-0.0029,42.744,-7.927,46.890,2,10
0.3486,-0.1074,-0.0166,44.329,-7.866,49.207,2,10
0.3633,-0.1001,-0.0303,46.037,-7.927,51.463,2,10
0.3804,-0.1143,-0.0449,47.378,-7.683,53.902,2,10
0.4004,-0.1123,-0.0679,49.573,-7.317,55.793,2,10
0.4058,-0.1133,-0.0854,51.402,-6.829,58.171,2,10
0.1240,-0.1084,-0.1406,-63.598,-25.183,-14.390,1,10
0.1265,-0.1133,-0.1382,-65.244,-24.695,-17.317,1,10
0.1274,-0.1289,-0.1431,-66.463,-23.841,-20.244,1,10
0.1323,-0.1367,-0.1445,-67.866,-22.744,-22.988,1,10
0.1357,-0.1440,-0.1538,-69.573,-21.890,-26.098,1,10
0.1396,-0.1626,-0.1567,-70.976,-20.976,-28.902,1,10
0.1401,-0.1646,-0.1641,-72.561,-19.695,-31.951,1,10
0.1592,-0.1797,-0.1694,-74.207,-18.293,-35.061,1,10
0.4180,-0.1147,-0.1030,53.354,-6.098,59.756,2,10
0.4292,-0.1328,-0.1211,55.610,-5.305,61.951,2,10
