ax,ay,az,gx,gy,gz,slot,label
0.2310,0.7461,0.2373,-25.427,-27.988,88.841,2,21
0.2407,0.7334,0.2358,-23.963,-27.927,87.195,2,21
0.2456,0.7197,0.2456,-22.622,-27.805,86.098,2,21
0.2378,0.7134,0.2397,-20.976,-27.622,84.512,2,21
0.2485,0.7090,0.2446,-19.634,-27.500,83.354,2,21
0.2500,0.6997,0.2397,-18.963,-27.378,81.890,2,21
0.2485,0.6948,0.2437,-17.927,-27.561,80.976,2,21
0.2451,0.6865,0.2388,-17.195,-27.439,79.939,2,21
-0.0835,-0.5356,0.3862,69.512,-53.354,-187.805,1,21
-0.0703,-0.5176,0.3921,64.329,-52.561,-186.402,1,21
-0.0596,-0.5063,0.3999,59.451,-51.951,-184.268,1,21
-0.0498,-0.4858,0.4067,54.512,-50.549,-182.073,1,21
-0.0454,-0.4609,0.4170,49.695,-49.939,-179.695,1,21
-0.0361,-0.4434,0.4229,45.000,-48.841,-176.707,1,21
-0.0278,-0.4258,0.4321,40.549,-48.537,-174.085,1,21
-0.0278,-0.4111,0.4380,36.341,-47.195,-171.829,1,21
-0.0303,-0.4014,0.4492,32.622,-47.073,-170.183,1,21
-0.0313,-0.3804,0.4399,29.268,-46.037,-168.476,1,21
-0.0200,-0.3628,0.4399,26.098,-45.183,-166.707,1,21
-0.0142,-0.3447,0.4443,22.439,-43.659,-164.695,1,21
-0.0024,-0.3281,0.4448,19.695,-42.195,-161.402,1,21
0.0000,-0.3130,0.4463,15.610,-41.341,-158.963,1,21
0.0068,-0.2993,0.4507,12.866,-39.939,-155.854,1,21
0.0122,-0.2959,0.4570,9.512,-39.146,-153.110,1,21
0.2480,0.6826,0.2456,-16.037,-27.073,78.598,2,21
0.2466,0.6782,0.2373,-14.939,-27.256,77.500,2,21
0.2529,0.6646,0.2441,-13.841,-27.256,75.915,2,21
0.2563,0.6553,0.2383,-12.317,-27.134,74.756,2,21
0.2593,0.6499,0.2485,-10.976,-27.134,73.659,2,21
0.2544,0.6406,0.2520,-9.512,-27.317,72.439,2,21
0.2563,0.6343,0.2603,-9.024,-27.622,71.280,2,21
0.2607,0.6240,0.2637,-8.110,-28.049,70.000,2,21
0.2549,0.6060,0.2495,-7.744,-27.988,68.902,2,21
0.2583,0.5972,0.2612,-7.805,-28.110,67.500,2,21
0.2627,0.5820,0.2607,-7.927,-28.049,66.341,2,21
0.2612,0.5752,0.2651,-8.537,-28.110,65.122,2,21
0.2539,0.5586,0.2539,-8.598,-28.110,63.841,2,21
0.2485,0.5430,0.2549,-9.573,-27.805,62.927,2,21
0.2529,0.5381,0.2427,-9.939,-27.622,61.829,2,21
0.2388,0.5264,0.2490,-10.488,-27.439,61.037,2,21
0.2476,0.5225,0.2271,-11.220,-27.317,59.939,2,21
0.2485,0.5176,0.2261,-11.707,-27.317,59.268,2,21
0.2671,0.5088,0.2207,-12.134,-27.195,58.354,2,21
0.2622,0.4995,0.2114,-11.951,-27.439,57.378,2,21
0.2544,0.4897,0.2178,-12.073,-27.744,56.341,2,21
0.2622,0.4897,0.2158,-11.768,-28.293,55.427,2,21
0.2725,0.4766,0.2275,-11.463,-28.659,54.329,2,21
0.2744,0.4775,0.2329,-11.524,-29.451,53.780,2,21
0.0688,-0.2803,0.4468,-18.232,-25.793,-130.793,1,21
0.0850,-0.2808,0.4448,-20.976,-24.207,-128.780,1,21
0.0869,-0.2700,0.4385,-24.146,-22.561,-126.646,1,21
0.1021,-0.2622,0.4307,-28.354,-20.183,-122.744,1,21
0.1060,-0.2451,0.4146,-30.793,-17.927,-120.061,1,21
0.1128,-0.2339,0.4253,-33.354,-16.402,-116.768,1,21
0.1147,-0.2188,0.4111,-35.610,-14.817,-113.537,1,21
0.1172,-0.2041,0.4111,-37.866,-13.232,-109.512,1,21
0.2783,0.4702,0.2344,-11.220,-30.061,52.927,2,21
0.2734,0.4639,0.2422,-11.098,-30.305,51.890,2,21
0.2739,0.4551,0.2441,-11.402,-31.159,51.524,2,21
0.2773,0.4478,0.2539,-10.793,-31.280,50.854,2,21
0.2798,0.4458,0.2578,-10.915,-31.646,50.488,2,21
0.2793,0.4438,0.2676,-10.854,-31.829,50.122,2,21
0.2700,0.4448,0.2944,-10.732,-32.195,50.061,2,21
0.2744,0.4497,0.2998,-10.549,-32.805,49.939,2,21
0.1240,-0.1938,0.4116,-39.329,-12.012,-106.280,1,21
0.1318,-0.1792,0.4092,-40.915,-11.037,-103.049,1,21
0.1265,-0.1748,0.4067,-42.317,-10.732,-100.427,1,21
0.1318,-0.1641,0.4048,-42.866,-9.878,-97.744,1,21
0.1338,-0.1636,0.3979,-43.720,-9.329,-95.183,1,21
0.1401,-0.1592,0.4067,-43.841,-8.598,-92.683,1,21
0.1406,-0.1646,0.4224,-43.293,-8.232,-91.037,1,21
0.1406,-0.1626,0.4351,-42.500,-7.805,-89.146,1,21
0.2681,0.4585,0.3237,-10.610,-33.476,50.610,2,21
0.2666,0.4634,0.3364,-10.793,-34.207,50.793,2,21
0.2593,0.4736,0.3467,-10.671,-34.634,51.646,2,21
0.2612,0.4844,0.3608,-10.732,-35.244,52.012,2,21
0.2593,0.4873,0.3813,-10.671,-35.793,52.622,2,21
0.2549,0.4917,0.3979,-10.549,-35.488,52.805,2,21
0.2510,0.4976,0.4043,-10.244,-35.183,52.866,2,21
0.2603,0.4985,0.4180,-10.244,-34.756,53.293,2,21
0.1567,-0.1660,0.4395,-40.915,-7.988,-87.683,1,21
0.1611,-0.1748,0.4624,-39.024,-8.110,-86.463,1,21
0.1689,-0.1802,0.4814,-37.073,-8.293,-85.305,1,21
0.1733,-0.1938,0.5000,-35.061,-8.902,-84.329,1,21
0.1831,-0.2056,0.5283,-31.768,-9.268,-83.110,1,21
0.1934,-0.2256,0.5537,-29.329,-10.122,-82.500,1,21
0.1875,-0.2437,0.5806,-25.671,-10.061,-82.195,1,21
0.1997,-0.2632,0.5854,-22.927,-10.305,-81.890,1,21
0.2065,-0.2773,0.6040,-19.329,-10.000,-81.585,1,21
0.2100,-0.2964,0.6143,-15.671,-9.756,-81.463,1,21
0.2134,-0.3105,0.6235,-12.134,-9.634,-81.159,1,21
0.2241,-0.3237,0.6460,-9.207,-9.390,-80.366,1,21
0.2456,-0.3428,0.6680,-6.220,-8.902,-79.573,1,21
0.2466,-0.3501,0.6694,-3.354,-8.659,-78.720,1,21
0.2539,-0.3638,0.6880,-0.732,-8.476,-77.683,1,21
0.2603,-0.3721,0.7017,1.220,-8.110,-76.524,1,21
0.2593,0.5146,0.4341,-9.939,-34.390,53.171,2,21
0.2627,0.5112,0.4473,-10.183,-33.902,53.659,2,21
0.2705,0.5259,0.4507,-10.976,-33.476,53.659,2,21
0.2715,0.5225,0.4609,-11.524,-33.110,54.329,2,21
0.2822,0.5317,0.4707,-12.500,-32.622,54.512,2,21
0.2817,0.5288,0.4814,-13.293,-32.134,55.061,2,21
0.2939,0.5405,0.4771,-14.329,-31.707,55.183,2,21
0.3027,0.5386,0.4805,-15.549,-31.707,55.305,2,21
0.2896,-0.3872,0.7041,4.146,-7.317,-74.390,1,21
0.2930,-0.3945,0.7070,5.122,-6.951,-74.024,1,21
0.2959,-0.3921,0.7188,6.524,-5.793,-72.317,1,21
0.3174,-0.4053,0.7236,7.683,-4.268,-70.305,1,21
0.3311,-0.4106,0.7280,8.537,-3.780,-69.146,1,21
0.3477,-0.4116,0.7275,9.451,-3.049,-68.902,1,21
0.3604,-0.4141,0.7349,10.061,-2.500,-67.927,1,21
0.3853,-0.4121,0.7388,10.671,-1.585,-67.256,1,21
0.3062,0.5386,0.4824,-17.073,-31.280,55.427,2,21
0.3223,0.5469,0.4800,-18.293,-30.793,55.793,2,21
0.3242,0.5454,0.4775,-19.329,-30.549,55.488,2,21
0.3384,0.5425,0.4868,-20.427,-30.244,55.732,2,21
0.3521,0.5498,0.4800,-20.732,-29.756,55.793,2,21
0.3574,0.5547,0.4697,-21.463,-29.390,55.915,2,21
0.3721,0.5620,0.4849,-22.073,-29.024,55.976,2,21
0.3765,0.5635,0.4771,-21.707,-28.537,55.488,2,21
0.3936,0.5703,0.4810,-21.646,-27.988,55.305,2,21
0.3960,0.5732,0.4897,-21.890,-27.805,54.634,2,21
0.4165,0.5713,0.4868,-22.500,-28.171,54.024,2,21
0.4302,0.5688,0.4878,-22.988,-28.354,53.537,2,21
0.4355,0.5708,0.4946,-23.537,-28.902,53.049,2,21
0.4512,0.5684,0.4917,-23.780,-28.720,52.195,2,21
0.4536,0.5742,0.4971,-24.024,-28.720,51.585,2,21
0.4658,0.5698,0.4966,-23.963,-28.598,50.854,2,21
0.4004,-0.4175,0.7334,10.488,-1.220,-66.402,1,21
0.4238,-0.4136,0.7451,10.061,-0.549,-65.671,1,21
0.4424,-0.4219,0.7344,9.512,0.244,-64.512,1,21
0.4604,-0.4346,0.7456,9.268,1.098,-63.415,1,21
0.4756,-0.4512,0.7583,8.720,2.012,-62.317,1,21
0.4849,-0.4819,0.7568,8.476,2.134,-62.378,1,21
0.4951,-0.5024,0.7646,8.963,2.439,-63.415,1,21
0.5195,-0.5264,0.7676,9.817,1.890,-64.573,1,21
0.4673,0.5693,0.5015,-23.659,-28.720,50.366,2,21
0.4746,0.5649,0.5039,-23.171,-28.415,49.878,2,21
0.4795,0.5742,0.5068,-22.866,-28.293,49.085,2,21
0.4907,0.5781,0.5234,-22.683,-28.232,48.720,2,21
0.4868,0.5879,0.5259,-22.805,-28.232,47.866,2,21
0.5000,0.5894,0.5332,-22.561,-28.049,47.134,2,21
0.5049,0.5986,0.5327,-23.232,-27.622,46.646,2,21
0.5137,0.6123,0.5381,-23.049,-27.561,46.585,2,21
0.5317,-0.5464,0.7622,11.098,2.012,-65.793,1,21
0.5522,-0.5674,0.7725,12.134,1.646,-66.402,1,21
0.5640,-0.5854,0.7729,13.293,1.951,-66.768,1,21
0.5845,-0.5967,0.7764,14.329,1.768,-66.951,1,21
0.5938,-0.6152,0.7759,15.610,1.220,-66.220,1,21
0.6128,-0.6201,0.7837,16.829,0.122,-66.037,1,21
0.6235,-0.6250,0.7798,18.171,-0.915,-65.183,1,21
0.6289,-0.6289,0.7842,20.122,-1.890,-63.780,1,21
0.5225,0.6221,0.5396,-23.049,-27.073,45.915,2,21
0.5273,0.6367,0.5479,-22.988,-26.524,45.854,2,21
0.5361,0.6504,0.5464,-22.195,-26.098,45.427,2,21
0.5410,0.6631,0.5396,-21.402,-25.793,44.939,2,21
0.5483,0.6792,0.5498,-20.549,-25.122,43.963,2,21
0.5625,0.6821,0.5591,-19.085,-24.146,43.293,2,21
0.5674,0.6987,0.5581,-17.683,-23.720,42.317,2,21
0.5762,0.7007,0.5596,-16.341,-23.354,40.610,2,21
0.6475,-0.6270,0.7690,21.524,-3.110,-62.805,1,21
0.6646,-0.6143,0.7710,23.659,-3.720,-60.427,1,21
0.6768,-0.6060,0.7769,25.122,-3.720,-57.378,1,21
0.6890,-0.6045,0.7661,27.012,-4.512,-55.000,1,21
0.6934,-0.6016,0.7598,29.024,-5.000,-52.317,1,21
0.7051,-0.6064,0.7554,30.854,-6.220,-49.756,1,21
0.7021,-0.5938,0.7539,32.988,-7.317,-47.866,1,21
0.7129,-0.5967,0.7441,34.512,-8.476,-45.610,1,21
0.7246,-0.5825,0.7476,36.646,-10.244,-42.622,1,21
0.7241,-0.5664,0.7305,36.951,-10.793,-40.549,1,21
0.7339,-0.5542,0.7314,36.280,-11.768,-37.927,1,21
0.7422,-0.5474,0.7368,35.488,-12.561,-35.610,1,21
0.7471,-0.5205,0.7241,34.024,-12.805,-33.293,1,21
0.7485,-0.5171,0.7334,31.707,-12.927,-31.341,1,21
0.7646,-0.5093,0.7266,29.268,-13.354,-29.268,1,21
0.7764,-0.5010,0.7231,26.280,-13.415,-27.683,1,21
0.5776,0.7046,0.5586,-14.817,-22.622,38.780,2,21
0.5850,0.7012,0.5669,-12.866,-21.463,36.524,2,21
