ax,ay,az,gx,gy,gz,slot,label
0.6055,-0.4961,-0.4292,45.244,-19.756,-15.244,2,10
0.6011,-0.4956,-0.4258,43.720,-19.451,-14.390,2,10
0.6079,-0.4971,-0.4194,41.524,-18.841,-12.683,2,10
0.6016,-0.4941,-0.4175,39.146,-18.232,-11.220,2,10
0.5991,-0.5059,-0.4136,36.707,-17.500,-9.512,2,10
0.5981,-0.5034,-0.4097,33.902,-16.890,-7.744,2,10
0.5938,-0.5054,-0.3970,31.220,-16.341,-5.915,2,10
0.5884,-0.5054,-0.3936,28.110,-15.610,-4.573,2,10
0.7349,-0.0083,-0.3994,-138.232,-16.829,80.732,1,10
0.7441,-0.0020,-0.4351,-145.427,-21.341,75.976,1,10
0.7427,0.0083,-0.4536,-150.854,-25.427,71.524,1,10
0.7373,0.0210,-0.4902,-155.671,-28.780,66.890,1,10
0.7280,0.0352,-0.5093,-158.415,-31.524,62.683,1,10
0.7183,0.0518,-0.5464,-160.549,-33.598,58.171,1,10
0.7021,0.0728,-0.5664,-160.671,-35.305,53.598,1,10
0.6953,0.0962,-0.5903,-159.512,-35.976,48.963,1,10
0.5645,-0.5254,-0.2969,-7.378,-9.817,8.841,2,10
0.5693,-0.5327,-0.2993,-9.207,-9.817,9.390,2,10
0.5713,-0.5342,-0.2891,-12.744,-9.207,10.976,2,10
0.5752,-0.5425,-0.2905,-18.537,-8.659,12.561,2,10
0.5747,-0.5483,-0.2793,-21.768,-8.293,13.598,2,10
0.5752,-0.5571,-0.2813,-23.537,-8.110,14.268,2,10
0.5830,-0.5698,-0.2793,-28.049,-7.378,15.244,2,10
0.5820,-0.5830,-0.2744,-30.610,-6.951,16.098,2,10
0.5952,0.2583,-0.7529,-118.049,-38.110,8.598,1,10
0.5972,0.2944,-0.7544,-112.256,-38.110,4.512,1,10
0.5884,0.3311,-0.7388,-107.988,-37.439,0.000,1,10
0.5825,0.3755,-0.7241,-104.329,-35.427,-4.573,1,10
0.5771,0.4194,-0.7148,-100.061,-33.598,-9.329,1,10
0.5688,0.4771,-0.6982,-95.244,-30.915,-13.659,1,10
0.5552,0.5210,-0.6641,-90.915,-27.683,-17.927,1,10
0.5469,0.5654,-0.6348,-85.793,-24.695,-22.195,1,10
0.6030,-0.6890,-0.2529,-51.646,-3.171,24.085,2,10
0.6094,-0.6978,-0.2573,-54.146,-2.683,24.695,2,10
0.6172,-0.7153,-0.2676,-56.280,-2.134,26.280,2,10
0.6167,-0.7349,-0.2720,-58.232,-2.256,27.256,2,10
0.6245,-0.7617,-0.2769,-59.329,-1.829,28.476,2,10
0.6255,-0.7827,-0.2915,-60.671,-1.402,29.634,2,10
0.6240,-0.8008,-0.2983,-61.707,-1.463,30.366,2,10
0.6123,-0.8188,-0.3135,-62.622,-1.341,30.671,2,10
0.4370,0.7866,-0.3867,-20.061,-7.256,-31.037,1,10
0.4478,0.8013,-0.3721,-13.232,-7.134,-28.232,1,10
0.4468,0.8262,-0.3545,-7.744,-6.890,-25.183,1,10
0.4546,0.8628,-0.3325,-3.171,-7.500,-21.707,1,10
0.4746,0.9023,-0.3262,0.122,-8.049,-17.805,1,10
0.4824,0.9448,-0.3042,2.439,-8.659,-13.659,1,10
0.4951,0.9844,-0.2969,4.085,-9.817,-8.659,1,10
0.5034,1.0337,-0.2876,5.549,-12.012,-3.049,1,10
0.6670,-0.7842,-0.2847,-37.134,-3.598,21.098,2,10
0.6748,-0.7666,-0.2773,-34.085,-4.695,21.951,2,10
0.6680,-0.7617,-0.2905,-30.732,-5.610,22.683,2,10
0.6670,-0.7603,-0.2866,-27.561,-5.976,23.841,2,10
0.6675,-0.7495,-0.3003,-23.902,-6.463,24.207,2,10
0.6616,-0.7524,-0.2998,-20.000,-6.707,24.878,2,10
0.6641,-0.7437,-0.3052,-16.098,-6.524,24.756,2,10
0.6611,-0.7471,-0.2979,-12.317,-6.037,25.122,2,10
0.6396,1.2739,-0.3188,-3.841,-21.037,87.927,1,10
