ax,ay,az,gx,gy,gz,slot,label
0.2471,0.5469,-0.1060,-2.561,13.476,-54.085,2,12
0.2524,0.5796,-0.0923,-3.841,14.024,-55.122,2,12
0.2480,0.6260,-0.0757,-4.756,13.780,-56.280,2,12
0.2554,0.6733,-0.0835,-5.427,14.085,-57.073,2,12
0.2578,0.7236,-0.0630,-6.524,13.720,-57.927,2,12
0.2676,0.7705,-0.0649,-7.256,13.780,-58.720,2,12
0.2632,0.8223,-0.0640,-8.232,13.354,-59.329,2,12
0.2656,0.8745,-0.0649,-8.780,13.232,-59.451,2,12
-0.9819,0.0317,0.1509,0.549,-4.024,-0.854,3,90
-0.9785,0.0352,0.1475,-0.732,-3.720,-0.732,3,90
-0.9810,0.0303,0.1470,-1.524,-3.598,-1.159,3,90
-0.9819,0.0317,0.1528,-2.317,-3.415,-1.220,3,90
-0.9810,0.0366,0.1567,-3.354,-2.927,-1.220,3,90
-0.9844,0.0425,0.1528,-3.902,-2.439,-0.854,3,90
-0.9873,0.0513,0.1577,-4.634,-2.256,-0.915,3,90
-0.9810,0.0488,0.1626,-4.756,-1.951,-0.976,3,90
0.3755,-0.9932,0.3945,33.171,2.439,6.829,1,12
0.3740,-1.0083,0.4033,33.720,2.866,6.098,1,12
0.3770,-1.0259,0.4097,34.634,3.841,5.244,1,12
0.3804,-1.0376,0.4209,34.573,4.329,4.146,1,12
0.3848,-1.0479,0.4243,34.329,4.695,3.049,1,12
0.3809,-1.0654,0.4316,33.902,4.939,2.256,1,12
0.3823,-1.0801,0.4424,32.683,5.488,1.280,1,12
0.3901,-1.0967,0.4468,30.732,6.159,0.244,1,12
0.2910,1.3340,-0.1001,-2.744,5.061,-54.512,2,12
0.2910,1.3818,-0.0942,-1.280,4.207,-53.110,2,12
0.2905,1.3994,-0.0947,-0.732,3.598,-52.561,2,12
0.2876,1.4297,-0.0962,1.159,2.622,-51.280,2,12
0.2842,1.4556,-0.0972,2.683,1.402,-49.695,2,12
0.2832,1.4956,-0.0938,4.695,0.183,-48.110,2,12
0.2925,1.5342,-0.0977,7.988,-1.707,-45.305,2,12
0.2798,1.5581,-0.1060,10.366,-2.500,-43.476,2,12
-0.9873,0.0498,0.1606,-7.622,1.890,-0.244,3,90
-0.9932,0.0513,0.1567,-7.622,2.378,0.000,3,90
-0.9932,0.0488,0.1558,-7.744,2.866,0.000,3,90
-0.9883,0.0527,0.1572,-7.439,3.659,-0.183,3,90
-0.9844,0.0581,0.1582,-6.524,4.268,0.122,3,90
-0.9902,0.0723,0.1621,-6.280,4.390,0.122,3,90
-0.9883,0.0771,0.1509,-5.793,4.817,0.366,3,90
-0.9824,0.0835,0.1558,-4.756,5.427,0.366,3,90
0.3687,-1.2061,0.4756,9.695,11.280,-8.232,1,12
0.3662,-1.2163,0.4717,7.744,11.768,-9.085,1,12
0.3657,-1.2085,0.4639,5.732,12.744,-9.939,1,12
0.3550,-1.2148,0.4551,3.780,13.232,-10.793,1,12
0.3535,-1.2051,0.4521,2.134,13.720,-11.890,1,12
0.3525,-1.2002,0.4409,0.610,14.390,-12.683,1,12
0.3477,-1.1948,0.4312,-0.488,14.878,-13.780,1,12
0.3389,-1.1787,0.4233,-1.829,15.549,-14.573,1,12
0.2778,1.7959,-0.1665,31.829,-12.134,-16.707,2,12
0.2686,1.8315,-0.1782,34.573,-12.927,-13.049,2,12
0.2744,1.8726,-0.1836,37.256,-14.024,-9.451,2,12
0.2729,1.9170,-0.1992,39.695,-14.512,-5.549,2,12
0.2632,1.9570,-0.2036,42.683,-15.305,-1.707,2,12
0.2715,2.0112,-0.2246,45.671,-16.280,2.073,2,12
0.2686,2.0557,-0.2358,49.268,-17.500,6.037,2,12
0.2637,2.1084,-0.2539,52.439,-18.659,10.061,2,12
-0.9707,0.0732,0.1396,2.683,8.598,1.646,3,90
-0.9775,0.0718,0.1416,3.841,8.963,1.829,3,90
-0.9771,0.0791,0.1377,3.841,9.268,1.341,3,90
-0.9722,0.0776,0.1357,4.512,9.390,1.585,3,90
-0.9741,0.0830,0.1309,4.695,9.634,1.341,3,90
-0.9727,0.0767,0.1323,5.000,9.756,1.280,3,90
-0.9653,0.0703,0.1226,5.305,9.756,1.280,3,90
-0.9731,0.0771,0.1226,5.915,9.817,0.793,3,90
0.3413,-1.0850,0.3359,1.220,23.232,-18.110,1,12
0.3452,-1.0806,0.3423,3.171,24.085,-18.049,1,12
0.3481,-1.0718,0.3447,5.427,25.122,-17.927,1,12
0.3447,-1.0610,0.3315,7.317,26.098,-18.171,1,12
0.3418,-1.0679,0.3311,9.573,27.012,-18.598,1,12
0.3521,-1.0649,0.3379,12.134,27.744,-18.598,1,12
0.3457,-1.0654,0.3340,14.939,28.110,-19.085,1,12
0.3418,-1.0688,0.3335,18.049,28.476,-19.268,1,12
0.1963,2.2070,-0.4634,79.573,-31.646,51.524,2,12
0.1846,2.1860,-0.4780,83.476,-31.829,57.134,2,12
0.1743,2.1577,-0.4878,87.622,-31.890,62.622,2,12
