ax,ay,az,gx,gy,gz,slot,label
-0.9858,-0.1123,0.0024,3.293,-6.098,-0.488,4,41
-0.9814,-0.1118,0.0015,4.207,-5.793,-0.671,4,41
-0.9653,-0.1118,0.0054,4.390,-5.671,-0.427,4,41
-0.9717,-0.1104,0.0088,4.939,-5.732,-0.427,4,41
-0.9639,-0.1108,0.0146,4.756,-5.610,-0.305,4,41
-0.9648,-0.1152,0.0117,5.061,-5.244,-0.305,4,41
-0.9595,-0.1167,0.0088,5.427,-5.305,0.000,4,41
-0.9609,-0.0967,0.0103,5.061,-5.000,0.000,4,41
0.3906,0.7349,-0.5352,20.549,5.610,15.122,2,90
0.3950,0.7310,-0.5313,20.183,5.610,15.610,2,90
0.3931,0.7173,-0.5273,20.671,5.427,15.854,2,90
0.3940,0.7129,-0.5313,20.366,5.488,15.854,2,90
0.3877,0.7026,-0.5254,20.671,5.183,16.280,2,90
0.3940,0.6987,-0.5293,20.427,4.939,16.402,2,90
0.3931,0.6968,-0.5361,20.671,4.573,16.707,2,90
0.3882,0.6865,-0.5288,20.305,4.024,16.829,2,90
-0.9614,-0.0957,0.0112,4.451,-4.817,0.000,4,41
-0.9648,-0.0889,0.0166,3.780,-4.817,0.305,4,41
-0.9663,-0.0786,0.0249,3.415,-4.634,0.488,4,41
-0.9800,-0.0747,0.0254,3.841,-4.573,0.854,4,41
-0.9824,-0.0605,0.0361,4.878,-4.085,1.098,4,41
-0.9844,-0.0415,0.0405,5.122,-3.902,0.915,4,41
-0.9883,-0.0308,0.0371,5.305,-3.841,0.366,4,41
-0.9941,-0.0337,0.0234,5.549,-3.659,0.488,4,41
-0.9785,0.0469,0.0015,-2.012,1.220,-1.585,3,41
-0.9805,0.0361,-0.0078,-1.402,1.220,-2.012,3,41
-0.9736,0.0347,-0.0166,-1.159,1.341,-2.073,3,41
-0.9839,0.0439,-0.0015,-0.854,1.585,-1.951,3,41
-0.9800,0.0400,-0.0142,-0.427,1.768,-2.622,3,41
-0.9873,0.0396,-0.0088,-0.122,1.646,-2.256,3,41
-0.9800,0.0376,-0.0161,0.244,1.829,-2.927,3,41
-0.9746,0.0415,-0.0098,0.610,1.890,-2.927,3,41
0.5972,-0.8496,-0.1572,-5.183,1.280,-12.988,1,90
0.5986,-0.8462,-0.1646,-5.000,0.976,-12.744,1,90
0.5903,-0.8462,-0.1660,-5.244,1.098,-12.622,1,90
0.5913,-0.8403,-0.1616,-5.732,1.037,-12.744,1,90
0.5986,-0.8354,-0.1548,-5.671,0.976,-12.500,1,90
0.5947,-0.8257,-0.1685,-5.488,0.671,-12.500,1,90
0.5947,-0.8223,-0.1694,-6.341,1.280,-12.256,1,90
0.5845,-0.8125,-0.1675,-5.976,1.159,-12.256,1,90
-0.9805,0.0493,-0.0117,1.159,1.829,-2.988,3,41
-0.9771,0.0430,-0.0088,1.951,2.073,-3.232,3,41
-0.9790,0.0381,-0.0063,1.951,2.073,-3.293,3,41
-0.9780,0.0435,-0.0088,2.500,1.951,-3.293,3,41
-0.9780,0.0396,-0.0039,2.439,2.012,-3.293,3,41
-0.9727,0.0425,-0.0083,2.622,1.951,-3.720,3,41
-0.9722,0.0420,-0.0059,2.317,1.890,-3.537,3,41
-0.9751,0.0361,-0.0068,2.012,1.951,-3.720,3,41
0.3955,0.6021,-0.5117,11.585,2.317,16.463,2,90
0.4038,0.5938,-0.5112,10.671,2.073,15.915,2,90
0.3999,0.5889,-0.5142,10.000,1.402,15.915,2,90
0.4063,0.5859,-0.5103,9.268,1.463,15.549,2,90
0.3999,0.5752,-0.5098,8.415,1.341,15.244,2,90
0.4170,0.5640,-0.5122,7.988,0.915,15.244,2,90
0.4097,0.5767,-0.5098,7.256,0.793,14.878,2,90
0.4199,0.5708,-0.5078,6.951,0.610,14.390,2,90
0.6021,-0.7939,-0.1914,-5.305,2.439,-10.183,1,90
0.6016,-0.7896,-0.1973,-5.183,2.378,-9.756,1,90
0.5986,-0.7866,-0.1870,-5.305,2.378,-9.634,1,90
0.6040,-0.7920,-0.1831,-5.305,2.988,-9.390,1,90
0.6006,-0.7915,-0.1885,-5.000,2.683,-9.451,1,90
0.6025,-0.7876,-0.1982,-5.122,2.988,-8.902,1,90
0.6040,-0.7905,-0.1865,-4.207,3.293,-8.659,1,90
0.6055,-0.7935,-0.1929,-4.817,3.293,-8.537,1,90
-0.9824,0.0103,0.0117,0.732,3.537,-3.659,3,41
-0.9697,-0.0029,-0.0039,1.402,3.659,-3.049,3,41
-0.9780,-0.0063,-0.0049,1.341,3.659,-2.500,3,41
-0.9751,-0.0020,-0.0098,1.098,3.902,-2.256,3,41
-0.9731,-0.0068,-0.0127,0.793,3.476,-2.317,3,41
-0.9800,0.0068,-0.0078,-0.305,3.476,-2.256,3,41
-0.9780,0.0024,-0.0210,-0.732,3.354,-3.049,3,41
-0.9761,0.0146,-0.0117,-1.280,3.110,-2.805,3,41
0.6001,-0.7861,-0.1958,-4.085,3.720,-8.049,1,90
0.6025,-0.7954,-0.1885,-4.329,3.780,-7.805,1,90
0.5996,-0.7979,-0.1929,-4.085,3.963,-7.744,1,90
0.6045,-0.7949,-0.1890,-4.268,3.963,-7.683,1,90
0.6001,-0.7939,-0.1934,-3.963,4.268,-7.378,1,90
0.5991,-0.7983,-0.1963,-4.024,4.390,-7.195,1,90
0.5942,-0.8018,-0.1929,-3.963,4.878,-6.829,1,90
0.5850,-0.7974,-0.2026,-3.841,4.817,-6.646,1,90
-0.9746,0.0161,-0.0132,-1.524,2.744,-2.927,3,41
-0.9761,0.0181,-0.0205,-1.951,2.622,-2.927,3,41
-0.9678,0.0210,-0.0278,-2.805,2.256,-2.927,3,41
-0.9751,0.0181,-0.0283,-2.988,1.829,-2.988,3,41
-0.9756,0.0083,-0.0278,-3.841,1.524,-3.171,3,41
-0.9761,0.0015,-0.0327,-4.451,0.976,-3.049,3,41
-0.9790,-0.0034,-0.0278,-5.549,0.793,-3.110,3,41
-0.9771,-0.0098,-0.0161,-6.220,0.976,-3.232,3,41
0.5923,-0.7983,-0.2080,-3.780,4.817,-6.463,1,90
0.5923,-0.7993,-0.1953,-3.963,5.244,-6.159,1,90
0.5854,-0.8008,-0.2065,-4.085,5.427,-6.159,1,90
0.5874,-0.8018,-0.2119,-4.146,5.305,-5.915,1,90
0.5869,-0.7979,-0.2158,-3.841,5.488,-6.037,1,90
0.5811,-0.7988,-0.2134,-4.024,5.854,-6.037,1,90
0.5806,-0.7954,-0.2104,-4.085,5.671,-5.915,1,90
0.5806,-0.7930,-0.2231,-3.720,5.671,-6.037,1,90
-0.9795,-0.0132,-0.0156,-6.768,0.488,-2.988,3,41
-0.9795,-0.0186,-0.0171,-7.439,0.488,-2.805,3,41
-0.9658,-0.0122,-0.0234,-7.134,0.610,-2.683,3,41
-0.9707,-0.0161,-0.0283,-7.134,0.549,-2.378,3,41
-0.9717,-0.0107,-0.0215,-6.829,0.244,-1.829,3,41
-0.9834,-0.0034,-0.0249,-6.159,0.488,-1.341,3,41
-0.9805,-0.0132,0.0034,-6.159,0.549,-1.280,3,41
-0.9824,-0.0166,-0.0103,-6.829,0.671,-0.671,3,41
0.4585,0.5674,-0.4902,12.805,-6.524,4.756,2,90
0.4512,0.5762,-0.4927,13.659,-7.134,4.451,2,90
0.4614,0.5723,-0.4941,13.902,-7.561,4.146,2,90
0.4614,0.5693,-0.5000,14.329,-7.866,4.085,2,90
0.4707,0.5649,-0.5078,14.695,-8.354,3.780,2,90
0.4629,0.5669,-0.4946,15.183,-8.537,3.598,2,90
0.4678,0.5669,-0.4990,15.305,-8.841,3.110,2,90
0.4653,0.5674,-0.5005,15.610,-9.207,2.988,2,90
0.5850,-0.7974,-0.2417,-3.293,9.024,-6.098,1,90
0.5830,-0.7939,-0.2476,-3.354,9.573,-6.402,1,90
0.5972,-0.8003,-0.2388,-3.354,9.573,-6.402,1,90
0.5898,-0.8062,-0.2373,-3.476,10.488,-6.463,1,90
0.5869,-0.8057,-0.2427,-3.537,10.610,-6.463,1,90
0.5913,-0.8081,-0.2402,-3.720,11.220,-6.463,1,90
0.6030,-0.8184,-0.2524,-3.720,11.707,-6.524,1,90
0.6040,-0.8247,-0.2432,-4.024,11.890,-6.585,1,90
-0.9780,-0.0142,-0.0107,-9.146,2.622,0.549,3,41
-0.9761,-0.0068,-0.0098,-7.500,2.988,1.037,3,41
-0.9819,0.0156,-0.0132,-5.671,2.927,2.012,3,41
-0.9829,0.0293,-0.0054,-3.598,3.720,2.378,3,41
-0.9912,0.0410,0.0044,-2.378,3.780,2.439,3,41
-1.0015,0.0483,-0.0020,-1.220,4.024,2.378,3,41
-0.9971,0.0522,0.0005,0.000,4.390,2.744,3,41
-0.9932,0.0547,-0.0010,1.280,4.817,3.049,3,41
0.5986,-0.8374,-0.2505,-4.146,12.256,-6.402,1,90
0.6011,-0.8296,-0.2456,-4.024,12.927,-6.646,1,90
0.5967,-0.8315,-0.2441,-4.634,12.988,-6.585,1,90
0.5996,-0.8359,-0.2534,-4.634,13.354,-7.012,1,90
0.6040,-0.8354,-0.2495,-5.061,13.963,-7.012,1,90
0.5996,-0.8330,-0.2539,-4.573,13.476,-7.683,1,90
0.6050,-0.8320,-0.2505,-4.695,14.390,-7.256,1,90
