ax,ay,az,gx,gy,gz,slot,label
0.6167,-0.5400,-0.2666,-24.817,-6.707,-78.720,1,10
0.6138,-0.5410,-0.2646,-24.207,-6.890,-78.780,1,10
0.6060,-0.5127,-0.2559,-22.561,-6.524,-78.659,1,10
0.6001,-0.5049,-0.2412,-21.341,-6.220,-78.049,1,10
0.5903,-0.4946,-0.2358,-19.756,-6.524,-77.622,1,10
0.5806,-0.4893,-0.2314,-18.415,-6.159,-76.951,1,10
0.5747,-0.4800,-0.2300,-17.134,-5.976,-76.463,1,10
0.5674,-0.4673,-0.2144,-15.488,-5.549,-75.976,1,10
0.3271,0.7686,-0.4922,17.744,-8.841,60.915,2,10
0.3213,0.7559,-0.4810,25.427,-7.012,60.427,2,10
0.3066,0.7632,-0.4692,32.622,-5.183,60.061,2,10
0.3096,0.7622,-0.4658,39.695,-3.171,59.878,2,10
0.3057,0.7578,-0.4561,46.098,-1.220,59.512,2,10
0.2983,0.7573,-0.4429,52.256,0.427,59.268,2,10
0.2993,0.7412,-0.4419,57.500,2.195,58.780,2,10
0.2905,0.7349,-0.4316,62.317,3.720,58.659,2,10
-0.9263,-0.1318,-0.0459,43.598,24.756,-7.561,3,90
-0.9355,-0.1489,-0.0527,42.866,23.171,-7.195,3,90
-0.9331,-0.1587,-0.0474,42.073,21.951,-7.134,3,90
-0.9360,-0.1636,-0.0356,40.305,20.366,-6.402,3,90
-0.9346,-0.1812,-0.0430,37.927,19.207,-6.341,3,90
-0.9346,-0.1948,-0.0391,35.732,17.866,-5.976,3,90
-0.9385,-0.1953,-0.0288,32.988,16.402,-5.549,3,90
-0.9424,-0.2007,-0.0293,30.061,15.488,-5.366,3,90
-0.3872,-0.2324,-0.4375,8.171,5.610,-3.780,4,90
-0.3760,-0.2310,-0.4219,5.854,3.171,-3.598,4,90
-0.3730,-0.2197,-0.3784,3.110,1.098,-4.024,4,90
-0.3672,-0.1924,-0.3345,0.366,-2.317,-4.207,4,90
-0.3545,-0.1460,-0.2891,-2.317,-5.976,-3.902,4,90
-0.3428,-0.0942,-0.2612,-5.427,-10.671,-3.598,4,90
-0.3223,-0.0259,-0.2241,-7.988,-15.061,-3.049,4,90
-0.3062,0.0518,-0.1982,-9.878,-19.390,-2.683,4,90
-0.9521,-0.1934,-0.0220,26.585,14.024,-4.817,3,90
-0.9448,-0.1865,-0.0327,23.110,13.171,-4.146,3,90
-0.9512,-0.1870,-0.0313,19.390,11.951,-3.720,3,90
-0.9492,-0.1826,-0.0278,15.976,10.549,-3.293,3,90
-0.9580,-0.1890,-0.0288,12.073,9.390,-2.866,3,90
-0.9600,-0.1846,-0.0249,8.293,8.415,-2.378,3,90
-0.9565,-0.1846,-0.0269,4.817,7.256,-2.195,3,90
-0.9678,-0.1831,-0.0156,1.524,6.524,-1.707,3,90
-0.2905,0.1240,-0.1626,-10.915,-22.988,-2.073,4,90
-0.2739,0.1772,-0.1304,-11.341,-26.463,-1.768,4,90
-0.2676,0.2041,-0.0527,-10.976,-29.390,-0.915,4,90
-0.2617,0.2334,0.0537,-8.415,-33.049,-0.305,4,90
