ax,ay,az,gx,gy,gz,slot,label
0.5098,-0.2515,0.3403,57.866,41.220,-9.451,1,12
0.5088,-0.2646,0.3423,58.354,41.524,-7.622,1,12
0.5073,-0.2944,0.3496,58.476,41.829,-6.159,1,12
0.4966,-0.3208,0.3496,57.744,42.134,-4.451,1,12
0.4897,-0.3613,0.3560,57.378,42.500,-3.049,1,12
0.4922,-0.3833,0.3550,56.524,43.171,-1.585,1,12
0.4834,-0.4160,0.3555,55.854,43.476,-0.549,1,12
0.4858,-0.4536,0.3584,55.000,44.024,0.854,1,12
0.3872,0.6694,-0.0747,-6.402,-23.780,-4.207,2,12
0.3882,0.6777,-0.0820,-7.012,-23.354,-4.878,2,12
0.3887,0.6875,-0.0820,-7.439,-22.683,-4.268,2,12
0.4033,0.6973,-0.0830,-7.439,-22.378,-3.720,2,12
0.3989,0.7124,-0.0903,-7.317,-21.768,-3.049,2,12
0.4043,0.7183,-0.0991,-6.890,-21.646,-2.256,2,12
0.4043,0.7378,-0.0967,-6.463,-20.976,-1.463,2,12
0.4106,0.7456,-0.1030,-5.793,-20.610,-0.488,2,12
0.4819,-0.4800,0.3691,54.512,44.085,1.890,1,12
0.4819,-0.5083,0.3794,54.024,44.329,3.049,1,12
0.4829,-0.5352,0.3760,54.024,44.573,4.024,1,12
0.4814,-0.5557,0.3813,54.085,44.634,5.061,1,12
0.4785,-0.5752,0.3872,54.207,44.268,6.280,1,12
0.4795,-0.6055,0.3979,54.268,44.024,7.622,1,12
0.4771,-0.6187,0.4082,53.780,43.415,8.902,1,12
0.4839,-0.6440,0.4116,53.415,42.927,10.122,1,12
0.4102,0.7627,-0.1016,-5.305,-20.305,-0.122,2,12
0.4170,0.7705,-0.1177,-4.146,-19.634,0.610,2,12
0.4175,0.7700,-0.1274,-3.293,-19.390,1.341,2,12
0.4170,0.7798,-0.1274,-2.317,-19.085,1.585,2,12
0.4209,0.7759,-0.1265,-1.341,-19.024,1.707,2,12
0.4209,0.7896,-0.1270,-0.610,-18.780,1.585,2,12
0.4219,0.7915,-0.1216,0.610,-18.598,1.829,2,12
0.4233,0.7832,-0.1240,1.341,-18.598,1.220,2,12
0.4829,-0.6748,0.4233,52.073,42.439,11.402,1,12
0.4888,-0.6987,0.4258,51.037,42.134,12.439,1,12
0.4912,-0.7290,0.4326,49.146,41.890,13.110,1,12
0.5039,-0.7759,0.4341,46.829,40.671,13.963,1,12
0.5068,-0.8081,0.4443,45.610,39.512,14.024,1,12
0.5171,-0.8398,0.4507,43.902,38.841,14.268,1,12
0.5220,-0.8794,0.4546,42.012,37.561,14.146,1,12
0.5264,-0.9058,0.4595,40.549,36.402,14.207,1,12
0.4229,0.7695,-0.1230,2.500,-18.415,0.610,2,12
