ax,ay,az,gx,gy,gz,slot,label
-0.9795,-0.0864,0.1152,5.915,8.476,-3.110,4,41
-0.9688,-0.0864,0.1079,6.463,9.085,-3.354,4,41
-0.9668,-0.0791,0.0938,7.012,9.512,-3.476,4,41
-0.9604,-0.0762,0.1011,7.317,10.000,-3.780,4,41
-0.9541,-0.0781,0.0898,7.622,10.061,-3.841,4,41
-0.9556,-0.0820,0.0889,8.354,9.695,-3.963,4,41
-0.9595,-0.0854,0.0811,8.476,10.000,-4.146,4,41
-0.9556,-0.0903,0.0747,8.841,9.756,-4.329,4,41
-0.9771,-0.1729,0.0049,0.061,1.341,1.707,3,41
-0.9746,-0.1743,-0.0078,-0.122,1.280,1.951,3,41
-0.9814,-0.1748,0.0063,-0.305,1.341,1.951,3,41
-0.9844,-0.1743,0.0093,-0.488,1.646,2.195,3,41
-0.9785,-0.1743,0.0063,-0.488,1.402,2.317,3,41
-0.9775,-0.1758,0.0107,-0.915,1.220,2.256,3,41
-0.9780,-0.1772,0.0044,-1.037,0.915,2.317,3,41
-0.9746,-0.1812,0.0005,-1.280,1.098,2.378,3,41
-0.9600,-0.0898,0.0815,8.963,10.244,-4.085,4,41
-0.9634,-0.0972,0.0796,9.329,10.549,-4.024,4,41
-0.9746,-0.1025,0.0791,9.085,10.671,-4.146,4,41
-0.9771,-0.1108,0.0825,8.963,10.915,-3.720,4,41
-0.9766,-0.1196,0.0991,9.695,11.280,-3.476,4,41
-0.9819,-0.1196,0.1006,11.037,11.220,-3.963,4,41
-0.9761,-0.1084,0.1113,11.280,11.524,-4.085,4,41
-0.9668,-0.0981,0.1177,11.402,11.707,-4.573,4,41
-0.9751,-0.1787,0.0151,-1.707,0.915,2.683,3,41
-0.9775,-0.1782,-0.0024,-1.829,1.037,2.866,3,41
-0.9766,-0.1694,0.0107,-2.134,0.854,2.866,3,41
-0.9751,-0.1724,-0.0010,-2.134,0.793,3.110,3,41
-0.9790,-0.1699,0.0054,-2.378,0.732,3.354,3,41
-0.9780,-0.1665,0.0063,-2.927,0.488,3.110,3,41
-0.9805,-0.1675,0.0073,-3.049,0.671,3.476,3,41
-0.9800,-0.1616,0.0059,-3.110,0.976,3.354,3,41
-0.9624,-0.0874,0.1094,11.159,11.768,-4.817,4,41
-0.9580,-0.0801,0.1035,10.793,11.829,-4.268,4,41
-0.9585,-0.0762,0.0938,9.939,11.890,-4.817,4,41
-0.9639,-0.0869,0.0830,9.634,12.256,-4.634,4,41
-0.9575,-0.0942,0.0898,9.634,12.622,-4.207,4,41
-0.9556,-0.0913,0.0894,9.756,13.049,-4.329,4,41
-0.9692,-0.1035,0.0938,9.695,12.866,-4.329,4,41
-0.9653,-0.1045,0.0918,8.598,12.805,-4.512,4,41
-0.9810,-0.1665,0.0029,-3.232,0.915,3.598,3,41
-0.9741,-0.1689,0.0054,-3.963,0.671,3.415,3,41
-0.9785,-0.1689,0.0073,-3.537,0.549,3.537,3,41
-0.9800,-0.1631,0.0117,-4.085,0.305,3.598,3,41
-0.9741,-0.1646,0.0015,-4.085,0.488,3.841,3,41
-0.9771,-0.1626,0.0063,-4.268,0.244,3.720,3,41
-0.9780,-0.1577,0.0098,-4.512,0.061,4.085,3,41
-0.9668,-0.1553,-0.0010,-4.878,-0.061,4.207,3,41
-0.9717,-0.1094,0.0938,7.927,12.988,-4.878,4,41
-0.9727,-0.1172,0.1030,7.439,12.927,-5.000,4,41
-0.9639,-0.1157,0.1040,8.171,12.927,-5.244,4,41
-0.9624,-0.1211,0.0874,7.622,12.622,-4.817,4,41
-0.9526,-0.1274,0.0757,7.378,12.378,-4.817,4,41
-0.9473,-0.1279,0.0723,7.988,12.805,-5.000,4,41
-0.9478,-0.1201,0.0825,8.354,12.744,-4.756,4,41
-0.9468,-0.1143,0.0796,8.415,13.110,-5.061,4,41
-0.9736,-0.1572,-0.0029,-4.939,0.000,4.146,3,41
-0.9673,-0.1558,0.0005,-5.122,-0.183,4.207,3,41
-0.9717,-0.1641,0.0024,-4.939,-0.183,4.207,3,41
-0.9775,-0.1567,-0.0024,-5.427,-0.183,4.329,3,41
-0.9775,-0.1616,-0.0049,-5.183,-0.366,4.329,3,41
-0.9766,-0.1616,0.0010,-5.915,-0.915,4.451,3,41
-0.9819,-0.1494,-0.0024,-6.280,-0.610,4.573,3,41
-0.9790,-0.1519,0.0093,-6.159,-0.793,4.451,3,41
-0.9463,-0.1108,0.0840,7.683,12.988,-5.000,4,41
-0.9487,-0.1079,0.0674,6.951,13.110,-5.000,4,41
-0.9438,-0.1113,0.0635,6.768,13.049,-5.061,4,41
-0.9482,-0.1250,0.0640,7.439,12.683,-4.817,4,41
-0.9575,-0.1265,0.0747,8.841,12.866,-4.451,4,41
-0.9609,-0.1196,0.0713,8.963,13.049,-4.146,4,41
-0.9595,-0.1113,0.0703,8.110,12.378,-4.085,4,41
-0.9629,-0.1133,0.0723,7.683,12.256,-4.268,4,41
-0.9814,-0.1592,0.0093,-6.402,-0.793,4.268,3,41
-0.9780,-0.1616,-0.0063,-5.976,-0.671,4.512,3,41
-0.9805,-0.1548,-0.0049,-5.549,-0.610,4.695,3,41
-0.9780,-0.1621,-0.0034,-5.732,-0.610,4.817,3,41
-0.9785,-0.1636,-0.0044,-5.549,-0.732,4.817,3,41
-0.9814,-0.1577,0.0054,-5.061,-0.854,4.939,3,41
-0.9819,-0.1504,0.0034,-4.878,-0.976,4.817,3,41
-0.9858,-0.1533,0.0117,-5.000,-0.793,4.878,3,41
0.5679,-0.9517,-0.2012,37.256,21.585,117.683,1,90
0.5674,-0.9854,-0.1982,37.317,21.707,117.744,1,90
0.5649,-1.0122,-0.1841,37.683,21.768,117.683,1,90
0.5659,-1.0430,-0.1763,37.317,22.134,117.500,1,90
0.5674,-1.0742,-0.1699,38.049,22.378,117.134,1,90
0.5664,-1.0991,-0.1689,38.232,22.378,116.890,1,90
0.5664,-1.1216,-0.1719,38.720,22.256,116.220,1,90
0.5684,-1.1519,-0.1714,38.841,21.951,115.244,1,90
0.3564,0.7856,-0.5708,-80.000,-10.000,-149.390,2,90
0.3481,0.8242,-0.5664,-76.768,-8.537,-150.854,2,90
0.3540,0.8599,-0.5776,-73.902,-7.134,-152.012,2,90
0.3481,0.9087,-0.5781,-69.878,-6.037,-153.780,2,90
0.3521,0.9414,-0.5845,-65.122,-5.000,-154.939,2,90
0.3452,0.9946,-0.5835,-60.244,-4.085,-155.549,2,90
0.3364,1.0405,-0.5806,-55.427,-3.659,-156.037,2,90
0.3364,1.0972,-0.5708,-50.488,-2.927,-156.646,2,90
0.5605,-1.1572,-0.1646,39.024,21.341,114.268,1,90
0.5674,-1.1816,-0.1709,38.659,21.524,113.049,1,90
0.5669,-1.1963,-0.1743,38.476,21.159,111.707,1,90
0.5684,-1.2153,-0.1616,37.805,20.610,110.061,1,90
0.5820,-1.2393,-0.1611,37.134,20.488,109.329,1,90
0.5830,-1.2690,-0.1577,36.341,20.183,107.805,1,90
0.5938,-1.2944,-0.1484,35.549,19.573,106.707,1,90
0.6040,-1.3208,-0.1543,35.000,20.122,105.854,1,90
0.3276,1.1455,-0.5732,-45.732,-2.744,-156.463,2,90
0.3223,1.1948,-0.5684,-40.793,-2.622,-155.732,2,90
0.3174,1.2432,-0.5718,-36.280,-3.110,-154.695,2,90
0.3013,1.2891,-0.5815,-31.280,-3.720,-153.171,2,90
0.2988,1.3281,-0.5889,-26.341,-4.878,-151.585,2,90
0.2793,1.3706,-0.5967,-21.646,-5.976,-149.024,2,90
0.2690,1.4067,-0.5791,-16.768,-7.561,-146.402,2,90
0.2529,1.4336,-0.5981,-12.195,-9.024,-142.805,2,90
0.6187,-1.3677,-0.1382,33.598,19.390,104.085,1,90
0.6162,-1.3955,-0.1323,33.049,19.146,102.683,1,90
0.6177,-1.4155,-0.1484,32.744,18.476,101.280,1,90
0.6182,-1.4341,-0.1387,32.683,17.744,99.573,1,90
0.6235,-1.4497,-0.1460,33.049,16.829,97.622,1,90
0.6230,-1.4653,-0.1494,32.988,15.915,95.488,1,90
0.6265,-1.4653,-0.1606,33.171,14.878,92.988,1,90
0.6211,-1.4722,-0.1616,33.415,13.780,90.488,1,90
0.2383,1.4609,-0.5952,-7.744,-10.732,-139.512,2,90
0.2324,1.4976,-0.6050,-3.659,-11.829,-135.488,2,90
0.2119,1.5098,-0.6152,0.183,-12.927,-131.037,2,90
0.2085,1.5273,-0.6104,3.902,-14.512,-126.646,2,90
0.1924,1.5439,-0.6240,6.890,-15.366,-121.768,2,90
0.1924,1.5596,-0.6289,9.817,-16.037,-116.890,2,90
0.1890,1.5708,-0.6328,11.524,-16.463,-111.585,2,90
0.1836,1.5864,-0.6465,13.171,-17.195,-106.524,2,90
0.6235,-1.4795,-0.1592,33.232,12.988,88.049,1,90
0.6177,-1.4902,-0.1553,32.927,12.378,85.915,1,90
0.6182,-1.5015,-0.1587,32.805,11.890,83.659,1,90
0.6196,-1.5210,-0.1685,32.073,11.463,81.768,1,90
0.6191,-1.5303,-0.1602,32.134,11.220,79.756,1,90
0.6191,-1.5420,-0.1602,31.585,10.915,77.866,1,90
0.6206,-1.5454,-0.1592,31.463,10.549,75.732,1,90
0.6118,-1.5532,-0.1670,31.159,9.756,73.537,1,90
0.1821,1.5977,-0.6592,13.841,-17.073,-101.280,2,90
