ax,ay,az,gx,gy,gz,slot,label
1.1543,2.2729,-0.5366,-103.963,24.878,-132.378,1,13
1.1646,2.3037,-0.5405,-95.000,23.415,-125.488,1,13
1.1880,2.3350,-0.5459,-86.402,22.195,-118.598,1,13
1.1978,2.3613,-0.5503,-76.646,20.793,-111.646,1,13
1.2163,2.3823,-0.5571,-67.561,19.329,-104.329,1,13
1.2271,2.4028,-0.5547,-57.622,17.866,-97.744,1,13
1.2363,2.4097,-0.5522,-47.988,16.220,-90.732,1,13
1.2446,2.4170,-0.5566,-38.415,14.329,-83.659,1,13
1.2266,2.2319,-0.5127,35.854,-5.732,-16.951,1,13
1.2144,2.2090,-0.5088,38.293,-6.280,-13.232,1,13
1.2036,2.1563,-0.5078,42.561,-8.110,-5.610,1,13
1.1914,2.1133,-0.4956,46.524,-9.817,2.012,1,13
1.1699,2.0596,-0.4834,50.305,-11.037,9.390,1,13
1.1558,1.9800,-0.4727,55.366,-12.866,19.512,1,13
1.1470,1.9282,-0.4580,58.110,-14.024,26.402,1,13
1.1304,1.8735,-0.4541,60.244,-14.939,32.927,1,13
1.0205,1.3369,-0.3560,70.793,-26.098,84.207,1,13
1.0107,1.2852,-0.3379,70.549,-27.317,88.720,1,13
0.9922,1.2368,-0.3350,69.817,-29.024,93.232,1,13
0.9775,1.1836,-0.3237,69.146,-30.061,97.134,1,13
0.9614,1.1343,-0.3164,68.232,-31.524,101.280,1,13
0.9478,1.0918,-0.3091,67.439,-32.500,104.512,1,13
0.9355,1.0493,-0.3047,66.280,-33.720,107.927,1,13
0.9243,1.0088,-0.2993,65.488,-34.329,111.220,1,13
0.7925,0.8022,-0.3027,54.329,-38.720,130.061,1,13
0.7739,0.7939,-0.3008,52.805,-38.720,131.341,1,13
0.7603,0.7798,-0.2798,51.098,-38.780,132.622,1,13
0.7446,0.7793,-0.2822,50.427,-38.659,133.659,1,13
0.7275,0.7651,-0.2773,49.085,-38.415,134.634,1,13
0.7100,0.7627,-0.2729,48.415,-38.537,136.037,1,13
0.6958,0.7573,-0.2656,48.171,-38.780,137.134,1,13
0.6855,0.7485,-0.2661,48.049,-38.841,137.805,1,13
0.5620,0.6118,-0.2319,47.927,-38.171,144.390,1,13
0.5532,0.5874,-0.2217,47.683,-38.232,144.695,1,13
0.5508,0.5684,-0.2124,47.073,-37.622,144.512,1,13
0.5444,0.5562,-0.2017,46.585,-37.500,144.390,1,13
0.5313,0.5347,-0.1978,45.244,-37.195,143.841,1,13
0.5264,0.5000,-0.1875,44.207,-36.890,143.720,1,13
0.5171,0.4761,-0.1782,42.988,-36.646,142.988,1,13
0.5195,0.4536,-0.1768,41.524,-36.585,142.622,1,13
0.4751,0.3369,-0.1440,25.671,-35.549,129.451,1,13
0.4678,0.3340,-0.1475,23.720,-35.000,127.500,1,13
0.4648,0.3389,-0.1270,21.768,-34.634,125.061,1,13
0.4580,0.3418,-0.1396,20.244,-34.268,122.744,1,13
0.4541,0.3477,-0.1450,19.146,-33.902,120.305,1,13
0.4492,0.3564,-0.1406,18.049,-33.171,117.927,1,13
0.4395,0.3730,-0.1279,16.646,-32.378,115.427,1,13
0.4390,0.3765,-0.1172,14.268,-31.646,112.866,1,13
0.2759,0.5522,0.0889,-14.451,-40.793,58.232,1,13
0.2466,0.5791,0.0957,-16.890,-41.890,54.390,1,13
0.2310,0.5972,0.0889,-19.146,-42.866,50.244,1,13
0.2163,0.6191,0.1006,-20.976,-43.476,46.402,1,13
0.1875,0.6362,0.1167,-23.110,-44.268,42.378,1,13
0.1689,0.6411,0.1255,-25.061,-44.573,38.537,1,13
0.1514,0.6523,0.1182,-26.280,-45.122,34.390,1,13
0.1235,0.6553,0.1274,-27.134,-45.000,30.793,1,13
0.0034,0.6709,0.1597,-34.756,-32.561,3.293,1,13
-0.0039,0.6704,0.1758,-36.463,-29.695,1.280,1,13
-0.0112,0.6694,0.1646,-38.780,-26.646,-0.732,1,13
-0.0225,0.6724,0.1914,-40.671,-23.415,-2.744,1,13
-0.0283,0.6650,0.1982,-43.110,-20.061,-4.329,1,13
-0.0298,0.6689,0.1992,-45.915,-16.951,-5.793,1,13
-0.0420,0.6655,0.2021,-49.085,-13.415,-7.195,1,13
-0.0371,0.6631,0.2090,-52.439,-10.610,-8.171,1,13
-0.0649,0.6421,0.1445,-90.488,10.305,-14.329,1,13
-0.0586,0.6392,0.1406,-92.561,10.854,-14.573,1,13
-0.0552,0.6401,0.1348,-96.646,12.622,-14.817,1,13
-0.0518,0.6421,0.1260,-100.427,14.878,-15.122,1,13
-0.0449,0.6416,0.1123,-104.085,16.585,-15.488,1,13
-0.0356,0.6489,0.1060,-107.012,18.902,-15.549,1,13
-0.0234,0.6504,0.0923,-111.829,22.012,-16.585,1,13
-0.0117,0.6484,0.0874,-114.634,24.329,-16.951,1,13
0.1123,0.6743,-0.0034,-121.037,38.232,-25.366,1,13
0.1216,0.6758,0.0024,-120.671,39.085,-26.646,1,13
0.1343,0.6738,0.0010,-119.939,39.512,-27.561,1,13
0.1514,0.6655,-0.0034,-118.902,40.122,-28.354,1,13
0.1650,0.6699,-0.0078,-117.622,40.427,-28.841,1,13
0.1719,0.6675,-0.0073,-115.854,40.854,-29.024,1,13
0.1895,0.6650,-0.0117,-114.268,41.220,-29.329,1,13
0.2041,0.6592,-0.0039,-112.805,41.585,-29.146,1,13
0.2876,0.6431,-0.0361,-94.939,47.012,-28.720,1,13
0.3032,0.6411,-0.0342,-92.927,48.232,-28.902,1,13
0.3062,0.6494,-0.0239,-90.793,49.024,-29.329,1,13
0.3105,0.6533,-0.0283,-89.146,49.878,-30.061,1,13
0.3257,0.6563,-0.0215,-86.829,50.793,-30.488,1,13
0.3330,0.6587,-0.0215,-84.207,51.829,-30.793,1,13
0.3433,0.6685,-0.0254,-81.280,52.988,-31.037,1,13
0.3555,0.6792,-0.0308,-78.293,53.720,-31.402,1,13
0.4468,0.7954,-0.0303,-48.171,60.488,-35.366,1,13
0.4570,0.8042,-0.0156,-44.634,61.220,-35.976,1,13
0.4717,0.7998,-0.0083,-40.610,61.951,-36.341,1,13
0.4771,0.8022,-0.0068,-36.524,62.622,-36.341,1,13
0.4883,0.7900,0.0078,-32.439,62.927,-36.524,1,13
0.4980,0.7847,0.0283,-29.024,63.598,-36.524,1,13
0.5088,0.7676,0.0254,-25.122,63.537,-36.341,1,13
0.5220,0.7490,0.0313,-21.463,63.720,-35.915,1,13
0.6763,0.6309,0.0581,-2.927,59.573,-25.610,1,13
0.6792,0.6372,0.0527,-2.622,58.598,-24.878,1,13
0.6938,0.6367,0.0410,-1.402,57.195,-23.841,1,13
0.7075,0.6323,0.0327,-0.549,55.061,-22.073,1,13
0.7280,0.6401,0.0322,-0.427,53.537,-21.341,1,13
0.7319,0.6445,0.0391,-1.524,51.951,-20.427,1,13
0.7397,0.6499,0.0493,-2.927,50.610,-19.573,1,13
0.7290,0.6465,0.0615,-5.610,49.512,-18.415,1,13
0.9590,0.5303,0.0029,-27.622,61.585,1.890,1,13
1.0200,0.5288,0.0176,-32.866,65.549,5.183,1,13
1.0830,0.5161,0.0361,-38.049,68.902,8.780,1,13
1.1548,0.5063,0.0601,-43.049,71.829,12.073,1,13
1.2363,0.5063,0.0747,-47.683,73.963,15.000,1,13
1.3096,0.5073,0.0820,-52.805,75.000,17.988,1,13
1.3770,0.5200,0.1040,-58.049,75.000,19.756,1,13
1.4346,0.5200,0.1235,-63.110,73.049,20.671,1,13
1.3120,0.6353,0.0293,-69.573,31.159,-11.646,1,13
1.2803,0.6377,-0.0005,-68.841,28.537,-15.244,1,13
1.2441,0.6338,-0.0112,-67.988,27.012,-16.951,1,13
1.2251,0.6328,-0.0332,-68.232,25.976,-18.171,1,13
1.2036,0.6343,-0.0449,-69.451,25.732,-18.049,1,13
1.1987,0.6353,-0.0459,-70.610,25.976,-17.500,1,13
1.1963,0.6226,-0.0527,-72.988,26.402,-16.524,1,13
1.2012,0.6113,-0.0503,-75.000,26.951,-15.549,1,13
1.2324,0.6182,-0.0464,-91.890,26.524,-21.098,1,13
1.2188,0.6206,-0.0493,-91.768,25.122,-23.415,1,13
1.1948,0.6230,-0.0527,-91.768,23.659,-25.793,1,13
1.1709,0.6230,-0.0610,-91.159,21.585,-28.232,1,13
1.1294,0.6230,-0.0591,-90.244,19.756,-29.878,1,13
1.1021,0.6284,-0.0635,-89.512,17.561,-31.829,1,13
1.0610,0.6074,-0.0649,-88.780,15.732,-33.415,1,13
1.0264,0.6011,-0.0791,-88.232,13.354,-34.268,1,13
0.7075,0.2710,-0.0562,-94.512,-8.293,-43.659,1,13
0.6738,0.2446,-0.0464,-97.378,-10.671,-46.159,1,13
0.6333,0.2236,-0.0415,-101.829,-12.683,-49.390,1,13
0.5962,0.1963,-0.0229,-107.378,-14.512,-52.378,1,13
0.5596,0.1689,-0.0166,-114.024,-15.854,-55.793,1,13
0.5142,0.1475,-0.0024,-120.610,-17.317,-59.329,1,13
0.4722,0.1167,-0.0005,-127.012,-18.598,-62.622,1,13
0.4385,0.0918,0.0103,-133.659,-19.634,-66.341,1,13
0.0635,0.0532,-0.0186,-185.732,-26.524,-100.549,1,13
0.0264,0.0562,-0.0249,-191.829,-26.646,-104.390,1,13
-0.0039,0.0479,-0.0435,-197.134,-26.524,-107.256,1,13
-0.0381,0.0396,-0.0688,-201.341,-26.037,-110.122,1,13
-0.0786,0.0278,-0.0698,-205.183,-25.122,-113.110,1,13
-0.1167,0.0298,-0.0972,-210.061,-24.329,-115.610,1,13
-0.1523,0.0210,-0.1094,-215.305,-22.988,-118.171,1,13
-0.1826,0.0049,-0.1260,-220.244,-21.220,-121.159,1,13
-0.4839,-0.0786,-0.1729,-266.159,14.878,-149.695,1,13
-0.5342,-0.0864,-0.1509,-272.195,21.037,-152.439,1,13
-0.5767,-0.1016,-0.1328,-278.293,27.805,-155.244,1,13
-0.6260,-0.1123,-0.0967,-284.451,34.817,-157.805,1,13
-0.6606,-0.1260,-0.0820,-288.659,41.707,-160.305,1,13
-0.7109,-0.1353,-0.0664,-291.159,48.537,-162.256,1,13
-0.7490,-0.1289,-0.0635,-290.854,55.427,-163.902,1,13
-0.7954,-0.1040,-0.0454,-288.720,61.890,-165.488,1,13
-1.0532,0.4312,-0.1060,-237.317,138.110,-168.720,1,13
-1.0474,0.4985,-0.0947,-224.329,150.183,-165.732,1,13
-1.0352,0.5708,-0.0576,-210.305,162.256,-162.988,1,13
-1.0015,0.6396,-0.0122,-194.268,175.061,-160.854,1,13
-0.9429,0.7300,0.0435,-175.854,187.805,-158.841,1,13
-0.8618,0.8164,0.0884,-155.610,201.159,-157.317,1,13
-0.7578,0.9282,0.1343,-133.049,215.305,-154.634,1,13
-0.6313,1.0591,0.1621,-107.927,230.793,-152.195,1,13
-0.4126,1.2983,0.2246,-67.744,256.585,-146.707,1,13
-0.3467,1.3950,0.2500,-54.329,266.280,-144.756,1,13
-0.1846,1.5996,0.3003,-28.049,287.073,-140.671,1,13
-0.0054,1.8276,0.3247,-2.317,310.610,-136.707,1,13
0.1577,2.0684,0.3560,22.378,336.098,-133.049,1,13
0.4175,2.4692,0.3657,55.366,377.439,-129.268,1,13
0.6187,2.7476,0.3491,73.841,403.780,-129.695,1,13
0.8384,3.0566,0.3120,90.305,427.134,-133.659,1,13
9.3198,4.1431,3.1201,209.146,123.293,-129.390,1,13
