ax,ay,az,gx,gy,gz,slot,label
1.3354,-1.7153,-0.4229,68.293,11.585,-39.085,2,11
1.3989,-1.7422,-0.4263,76.951,9.207,-44.939,2,11
1.4639,-1.7681,-0.4238,85.305,6.768,-50.488,2,11
1.5137,-1.8018,-0.3955,93.110,3.963,-55.610,2,11
1.5542,-1.8364,-0.3633,100.061,0.183,-60.122,2,11
1.5938,-1.8789,-0.3262,105.427,-3.841,-64.146,2,11
1.6230,-1.9204,-0.2939,109.146,-8.415,-68.049,2,11
1.6387,-1.9507,-0.2656,110.549,-13.293,-71.768,2,11
1.6440,-1.9790,-0.2397,110.305,-18.476,-75.122,2,11
1.6367,-2.0000,-0.2202,107.683,-23.659,-78.293,2,11
1.6196,-2.0020,-0.2017,103.232,-29.146,-81.402,2,11
1.6001,-1.9990,-0.2031,96.951,-34.695,-84.329,2,11
1.5791,-1.9673,-0.1997,89.085,-40.305,-86.890,2,11
1.5488,-1.9341,-0.2134,80.427,-46.037,-88.902,2,11
1.5352,-1.8818,-0.2446,70.671,-51.707,-90.305,2,11
1.5059,-1.8193,-0.2725,60.427,-57.317,-91.280,2,11
1.4819,-1.7446,-0.3052,49.756,-62.134,-92.134,2,11
1.4609,-1.6641,-0.3545,38.902,-66.707,-92.439,2,11
1.4351,-1.5913,-0.4097,27.988,-70.488,-92.256,2,11
1.4028,-1.5103,-0.4561,17.561,-73.476,-91.646,2,11
1.3643,-1.4297,-0.5254,7.622,-75.854,-90.976,2,11
1.3354,-1.3516,-0.5688,-1.829,-77.195,-90.244,2,11
1.2944,-1.2729,-0.6226,-10.427,-78.354,-89.329,2,11
1.2539,-1.1943,-0.6714,-18.476,-79.085,-88.232,2,11
1.5684,0.3574,-0.3130,-176.646,9.390,202.073,1,11
1.5229,0.2788,-0.3594,-165.366,-8.720,190.549,1,11
1.4639,0.2134,-0.4121,-153.841,-27.073,178.293,1,11
1.3989,0.1489,-0.4878,-140.732,-43.537,165.915,1,11
1.3174,0.0845,-0.5547,-126.341,-57.317,154.024,1,11
1.2285,0.0254,-0.6011,-110.854,-67.805,142.744,1,11
1.1353,-0.0239,-0.6699,-96.890,-74.634,132.195,1,11
1.0459,-0.0825,-0.7163,-82.012,-78.232,123.902,1,11
0.7598,-0.3110,-0.6753,3.415,-73.293,99.268,1,11
0.7920,-0.3037,-0.6289,8.415,-75.122,103.293,1,11
0.8081,-0.2847,-0.5718,10.183,-78.537,106.890,1,11
0.8057,-0.2549,-0.5156,9.817,-83.537,109.939,1,11
0.8008,-0.2212,-0.4624,9.329,-89.451,111.585,1,11
0.7661,-0.1948,-0.4087,8.537,-96.280,112.012,1,11
0.7139,-0.1533,-0.3848,9.207,-103.780,110.793,1,11
0.6489,-0.1250,-0.4189,12.622,-112.134,107.439,1,11
0.5786,-0.0918,-0.4600,18.720,-120.671,101.585,1,11
0.5010,-0.0493,-0.5137,27.134,-129.329,93.841,1,11
0.4175,0.0024,-0.5625,35.122,-135.854,83.598,1,11
0.3262,0.0234,-0.6567,43.963,-140.976,70.915,1,11
0.2412,0.0386,-0.7349,55.244,-143.110,57.317,1,11
0.1519,0.0313,-0.8369,67.744,-142.500,42.683,1,11
0.0767,0.0122,-0.9365,80.915,-138.720,27.500,1,11
0.0142,-0.0127,-1.0244,96.463,-131.463,12.744,1,11
0.4893,1.2012,0.2202,34.451,45.427,-160.854,1,11
0.4878,1.2422,0.2388,29.390,44.695,-156.280,1,11
0.4961,1.2646,0.2251,25.976,42.256,-150.305,1,11
0.5049,1.2788,0.1704,26.463,38.171,-143.476,1,11
0.5117,1.2905,0.1089,30.732,32.134,-136.098,1,11
0.5010,1.3032,0.0610,38.110,23.963,-129.024,1,11
0.4829,1.3237,0.0439,47.195,14.085,-123.354,1,11
0.4551,1.3569,0.0190,57.500,2.012,-120.427,1,11
0.4287,-1.0898,-0.2573,87.134,30.000,55.244,2,11
0.4038,-1.2168,-0.2231,92.805,32.500,52.195,2,11
0.3862,-1.3281,-0.1768,96.098,34.695,48.963,2,11
0.3770,-1.4336,-0.1309,97.256,35.244,44.939,2,11
0.3589,-1.5347,-0.0820,96.159,35.305,40.793,2,11
0.3564,-1.6177,-0.0322,93.110,34.329,36.585,2,11
0.3496,-1.6963,0.0068,88.780,32.378,33.049,2,11
0.3423,-1.7705,0.0356,82.561,29.573,30.122,2,11
0.1152,1.7007,0.1504,111.341,-117.256,-122.500,1,11
0.0854,1.7314,0.2070,103.902,-122.439,-109.085,1,11
0.0669,1.7754,0.2510,93.902,-123.902,-90.915,1,11
0.0552,1.8311,0.2729,80.976,-120.244,-68.354,1,11
