ax,ay,az,gx,gy,gz,slot,label
1.1519,-0.6362,-1.2798,42.439,-38.476,-102.988,1,10
1.1538,-0.7012,-1.3691,27.256,-31.585,-119.085,1,10
1.1553,-0.7773,-1.4834,13.537,-23.415,-134.512,1,10
1.1616,-0.8643,-1.5732,3.171,-13.841,-149.878,1,10
1.1558,-0.9282,-1.5947,-4.024,-3.841,-165.549,1,10
1.1445,-0.9561,-1.5791,-10.000,5.671,-180.976,1,10
1.1484,-0.9453,-1.5283,-16.890,14.390,-195.122,1,10
1.1548,-0.8789,-1.4795,-26.707,22.378,-207.134,1,10
1.3848,-1.0742,-1.0024,26.280,34.085,170.854,2,10
1.3594,-1.2031,-0.9849,29.390,35.427,171.951,2,10
1.3130,-1.3403,-0.9639,31.524,36.829,172.256,2,10
1.2744,-1.4780,-0.9209,32.500,37.500,171.463,2,10
1.2275,-1.6118,-0.8877,32.744,37.012,169.573,2,10
1.1797,-1.7505,-0.8384,33.232,36.646,166.463,2,10
1.1362,-1.8799,-0.8057,33.537,35.854,162.134,2,10
1.0840,-2.0054,-0.7700,33.598,34.573,157.012,2,10
1.1309,-0.7290,-1.3779,-43.780,34.146,-220.427,1,10
1.1279,-0.6768,-1.3486,-49.024,37.683,-223.293,1,10
1.1191,-0.5479,-1.2749,-56.707,44.146,-226.951,1,10
1.0859,-0.3379,-1.1606,-62.134,51.890,-227.683,1,10
1.0684,-0.2031,-1.0947,-61.463,54.817,-225.366,1,10
1.0547,-0.0557,-1.0342,-56.585,57.134,-221.402,1,10
1.0273,0.0679,-0.9683,-48.659,58.171,-216.768,1,10
1.0054,0.1963,-0.9082,-39.085,58.049,-211.951,1,10
1.0278,-2.1279,-0.7393,33.110,33.659,150.427,2,10
0.9878,-2.2290,-0.6948,33.476,32.866,142.988,2,10
0.9409,-2.3149,-0.6450,33.537,31.159,134.207,2,10
0.9038,-2.3794,-0.5894,32.378,29.146,124.817,2,10
0.8716,-2.4365,-0.5454,31.220,26.280,115.122,2,10
0.8442,-2.4785,-0.5063,29.146,23.720,104.756,2,10
0.8330,-2.5059,-0.4658,27.378,20.366,93.902,2,10
0.8057,-2.5200,-0.4307,25.366,17.622,82.988,2,10
0.9858,0.3159,-0.8721,-27.561,57.622,-206.402,1,10
0.9683,0.4282,-0.8179,-16.098,56.280,-200.671,1,10
0.9541,0.5449,-0.7900,-4.146,54.695,-194.756,1,10
0.9375,0.6641,-0.7671,7.134,52.744,-188.720,1,10
0.9199,0.7827,-0.7441,18.171,50.671,-182.622,1,10
0.9004,0.8896,-0.7212,28.659,48.232,-177.012,1,10
0.8843,1.0015,-0.6870,38.110,45.610,-171.220,1,10
0.8662,1.1265,-0.6626,47.195,42.866,-165.244,1,10
0.7920,-2.5205,-0.3960,23.415,14.817,72.439,2,10
0.7974,-2.5103,-0.3560,21.646,13.171,61.463,2,10
0.7959,-2.4941,-0.3296,19.634,10.976,50.671,2,10
0.8037,-2.4639,-0.2915,17.622,9.878,39.756,2,10
0.8110,-2.4243,-0.2700,15.427,8.659,28.902,2,10
0.8228,-2.3804,-0.2393,13.049,7.683,18.415,2,10
0.8359,-2.3271,-0.2056,11.037,6.098,8.293,2,10
0.8467,-2.2651,-0.1719,9.634,4.024,-1.646,2,10
0.4824,0.0361,0.1528,-191.220,21.890,173.780,1,10
0.5127,-0.0005,0.1021,-194.390,3.841,168.476,1,10
0.5269,-0.0352,0.0146,-195.549,-11.768,163.293,1,10
0.5498,-0.0518,-0.0508,-194.146,-22.622,158.354,1,10
0.5469,-0.0679,-0.0840,-191.646,-27.866,154.146,1,10
0.5190,-0.0864,-0.0854,-189.024,-28.841,150.915,1,10
0.4922,-0.1201,-0.0928,-186.341,-28.293,148.110,1,10
0.4741,-0.1641,-0.1401,-181.098,-28.293,145.610,1,10
0.4121,0.6309,-0.2051,-41.524,-47.988,-70.976,2,10
0.4326,0.7090,-0.2202,-47.195,-44.390,-64.390,2,10
0.4512,0.7803,-0.2349,-52.439,-40.854,-56.829,2,10
0.4771,0.8374,-0.2393,-57.317,-36.280,-48.902,2,10
0.5005,0.8745,-0.2437,-60.366,-31.829,-40.671,2,10
0.5425,0.8970,-0.2412,-62.134,-26.951,-31.159,2,10
0.5801,0.9082,-0.2378,-62.073,-21.646,-22.317,2,10
0.6045,0.8984,-0.2407,-60.854,-16.463,-13.354,2,10
0.4517,-0.2041,-0.2114,-173.415,-28.537,143.110,1,10
0.4419,-0.2354,-0.2544,-163.659,-29.024,140.244,1,10
0.4312,-0.2612,-0.2803,-153.720,-29.695,136.707,1,10
0.4268,-0.2891,-0.3193,-143.476,-30.366,132.256,1,10
0.4312,-0.3169,-0.3545,-133.232,-30.793,127.683,1,10
0.4375,-0.3447,-0.3853,-123.171,-30.915,122.744,1,10
0.4448,-0.3696,-0.4097,-113.902,-30.854,117.439,1,10
0.4536,-0.3799,-0.4287,-104.878,-30.061,112.439,1,10
0.6211,0.8906,-0.2373,-59.878,-11.829,-4.024,2,10
0.6216,0.9121,-0.2026,-60.915,-6.463,4.329,2,10
0.6377,0.8154,-0.2451,-64.939,-1.402,13.293,2,10
0.6396,0.7285,-0.2520,-63.110,2.744,22.256,2,10
0.6348,0.6338,-0.2456,-57.622,6.768,31.037,2,10
0.6113,0.5342,-0.2241,-50.183,10.793,39.451,2,10
0.5815,0.4282,-0.2075,-42.622,14.451,47.683,2,10
0.5474,0.3276,-0.2002,-35.793,17.378,56.159,2,10
0.4722,-0.3828,-0.4365,-97.256,-28.720,107.500,1,10
0.4839,-0.3696,-0.4302,-90.854,-26.341,102.500,1,10
0.4893,-0.3511,-0.4170,-85.976,-23.659,97.622,1,10
0.4995,-0.3369,-0.4160,-82.195,-21.037,92.805,1,10
0.5098,-0.3081,-0.4189,-77.988,-18.841,87.683,1,10
0.5161,-0.2656,-0.4282,-74.939,-17.500,83.171,1,10
0.5347,-0.2114,-0.4390,-73.232,-16.707,78.537,1,10
0.5439,-0.1592,-0.4458,-72.805,-16.768,73.598,1,10
0.2192,-1.8159,0.0454,57.927,36.646,8.476,2,10
0.2983,-1.7935,0.0107,70.549,36.280,-5.000,2,10
0.3687,-1.7856,-0.0264,84.207,36.402,-19.268,2,10
0.4453,-1.7847,-0.0552,98.110,37.256,-33.780,2,10
0.5259,-1.7930,-0.0947,111.707,38.659,-48.902,2,10
0.5952,-1.7847,-0.1079,123.963,40.122,-63.476,2,10
0.6577,-1.7676,-0.1113,133.780,40.976,-77.439,2,10
0.7144,-1.7407,-0.1016,142.317,41.220,-90.244,2,10
0.5762,0.5371,-0.5249,-52.134,-2.500,-83.415,1,10
0.5664,0.5801,-0.5259,-56.646,-8.963,-81.524,1,10
0.5688,0.6113,-0.5156,-60.671,-15.183,-80.000,1,10
0.5640,0.6406,-0.4819,-63.963,-20.427,-78.171,1,10
0.5601,0.6753,-0.4189,-67.134,-25.488,-76.768,1,10
0.5557,0.7256,-0.3838,-70.854,-30.122,-75.000,1,10
0.5645,0.7813,-0.3501,-75.000,-34.695,-72.317,1,10
0.5684,0.8550,-0.3062,-81.098,-38.415,-68.902,1,10
0.7666,-1.7036,-0.1060,147.439,39.695,-101.402,2,10
0.8115,-1.6553,-0.1079,149.451,37.500,-110.671,2,10
0.8511,-1.6001,-0.1182,148.780,34.329,-117.622,2,10
0.8818,-1.5254,-0.1396,145.610,29.878,-121.768,2,10
0.8984,-1.4536,-0.1606,140.976,25.305,-123.902,2,10
0.9111,-1.3701,-0.1904,134.024,19.939,-123.476,2,10
0.9141,-1.2866,-0.2246,126.220,14.268,-121.524,2,10
0.9146,-1.1831,-0.2690,117.012,8.354,-117.866,2,10
0.5625,0.9146,-0.2612,-87.866,-41.524,-63.049,1,10
0.5527,0.9736,-0.2139,-96.037,-43.598,-55.610,1,10
0.5273,1.0215,-0.1665,-104.573,-45.244,-45.793,1,10
0.5063,1.0674,-0.1445,-112.500,-46.098,-34.390,1,10
0.4727,1.0967,-0.1289,-120.915,-46.037,-21.707,1,10
0.4302,1.1089,-0.1021,-128.659,-44.634,-7.988,1,10
0.3960,1.1045,-0.0752,-137.134,-41.524,5.732,1,10
0.3701,1.0752,-0.0464,-145.122,-36.585,19.024,1,10
0.8950,-1.0864,-0.3120,107.622,2.622,-112.866,2,10
0.8770,-0.9834,-0.3545,97.805,-2.317,-107.378,2,10
0.8506,-0.8896,-0.4092,88.476,-6.585,-101.402,2,10
0.8394,-0.7822,-0.4399,78.476,-10.488,-95.061,2,10
0.8140,-0.6816,-0.4907,68.963,-13.110,-88.720,2,10
0.7974,-0.5811,-0.5269,59.146,-15.610,-82.622,2,10
0.7881,-0.4897,-0.5757,49.085,-17.378,-77.012,2,10
0.7832,-0.3979,-0.6172,40.610,-18.902,-71.524,2,10
0.3428,1.0254,-0.0366,-152.256,-30.000,31.098,1,10
0.3267,0.9634,-0.0205,-158.963,-21.341,41.220,1,10
0.3110,0.8926,-0.0112,-165.854,-11.585,48.659,1,10
0.3008,0.8071,-0.0303,-172.134,-1.098,53.841,1,10
0.3057,0.7275,-0.0596,-178.354,9.146,56.280,1,10
