ax,ay,az,gx,gy,gz,slot,label
0.6709,0.7881,-0.5083,24.451,5.671,28.963,1,10
0.6733,0.7417,-0.4995,20.549,6.829,31.463,1,10
0.6777,0.7041,-0.4971,16.463,7.744,33.415,1,10
0.6846,0.6636,-0.4985,11.646,8.598,35.793,1,10
0.6997,0.6260,-0.4863,6.890,9.024,37.317,1,10
0.7090,0.5991,-0.4868,1.463,9.939,38.476,1,10
0.7173,0.5620,-0.4834,-4.085,10.305,40.244,1,10
0.7231,0.5313,-0.4678,-10.122,10.244,41.402,1,10
0.8662,-0.8623,-0.3320,2.927,11.707,-12.927,2,10
0.8716,-0.8564,-0.3345,2.683,11.098,-13.720,2,10
0.8672,-0.8457,-0.3394,2.073,10.488,-13.963,2,10
0.8696,-0.8447,-0.3408,1.829,10.061,-14.329,2,10
0.8711,-0.8359,-0.3413,1.524,9.390,-14.573,2,10
0.8662,-0.8267,-0.3506,0.854,8.780,-14.756,2,10
0.8711,-0.8203,-0.3477,0.793,8.171,-15.366,2,10
0.8711,-0.8115,-0.3486,0.732,7.805,-15.183,2,10
0.8667,-0.8022,-0.3472,0.183,7.195,-15.427,2,10
0.8618,-0.7949,-0.3433,-0.244,6.951,-15.671,2,10
0.8701,-0.7852,-0.3496,-0.305,6.463,-15.793,2,10
0.8682,-0.7803,-0.3540,-0.366,5.915,-15.976,2,10
0.8599,-0.7729,-0.3491,-0.610,5.366,-15.976,2,10
0.8633,-0.7646,-0.3467,-0.793,5.122,-16.280,2,10
0.8647,-0.7627,-0.3413,-0.854,4.756,-16.402,2,10
0.8672,-0.7534,-0.3403,-1.098,4.207,-16.402,2,10
0.8696,-0.7549,-0.3315,-1.524,3.963,-16.463,2,10
0.8701,-0.7505,-0.3354,-1.341,3.415,-16.402,2,10
0.8687,-0.7476,-0.3286,-1.707,2.866,-16.341,2,10
0.8755,-0.7456,-0.3188,-2.073,2.439,-16.768,2,10
0.8770,-0.7451,-0.3232,-2.866,1.646,-16.707,2,10
0.8740,-0.7397,-0.3179,-3.537,1.159,-16.951,2,10
0.8794,-0.7383,-0.3071,-4.329,0.244,-16.890,2,10
0.8755,-0.7344,-0.3027,-5.366,-0.305,-16.829,2,10
0.8789,-0.7310,-0.2959,-6.037,-1.524,-16.585,2,10
0.8721,-0.7295,-0.3022,-7.195,-2.317,-17.134,2,10
0.8691,-0.7261,-0.2949,-8.841,-3.110,-17.012,2,10
0.8613,-0.7285,-0.3047,-10.305,-3.902,-17.012,2,10
0.8618,-0.7178,-0.2993,-11.768,-4.512,-17.134,2,10
0.8589,-0.7236,-0.2969,-12.988,-5.183,-17.012,2,10
0.8564,-0.7222,-0.2993,-14.085,-5.793,-16.951,2,10
0.8530,-0.7261,-0.3032,-15.488,-6.402,-17.134,2,10
0.8428,-0.7202,-0.3018,-17.012,-6.951,-16.829,2,10
0.8379,-0.7168,-0.2964,-17.256,-7.378,-16.951,2,10
0.8438,-0.7217,-0.3071,-17.988,-7.744,-17.134,2,10
0.8340,-0.7202,-0.3125,-18.963,-7.988,-17.378,2,10
0.8232,-0.7207,-0.3013,-19.817,-8.780,-17.500,2,10
0.8237,-0.7178,-0.2954,-20.427,-9.024,-17.561,2,10
0.8188,-0.7183,-0.3018,-20.976,-9.451,-17.744,2,10
0.8135,-0.7163,-0.2988,-21.280,-9.695,-17.988,2,10
0.8140,-0.7085,-0.2949,-22.256,-10.305,-18.720,2,10
0.8110,-0.7061,-0.2930,-22.805,-10.610,-18.902,2,10
0.8022,-0.7109,-0.2993,-22.561,-10.793,-19.329,2,10
