ax,ay,az,gx,gy,gz,slot,label
0.3994,0.7236,-0.3589,10.854,7.073,-2.866,1,10
0.4043,0.7256,-0.3604,10.976,6.768,-3.293,1,10
0.4009,0.7295,-0.3560,10.854,6.524,-3.110,1,10
0.4038,0.7310,-0.3628,10.793,6.585,-3.415,1,10
0.4004,0.7349,-0.3647,10.610,6.585,-3.171,1,10
0.3970,0.7451,-0.3638,10.671,6.463,-3.049,1,10
0.3984,0.7446,-0.3535,10.366,6.402,-3.171,1,10
0.3994,0.7500,-0.3555,10.122,6.098,-3.232,1,10
0.5537,-0.7954,-0.4839,1.220,-7.561,-13.171,2,10
0.5566,-0.8042,-0.4897,0.854,-7.256,-13.415,2,10
0.5586,-0.8091,-0.4819,0.549,-7.073,-13.720,2,10
0.5654,-0.8213,-0.4849,0.427,-7.134,-14.146,2,10
0.5552,-0.8350,-0.4868,-0.305,-7.012,-14.146,2,10
0.5479,-0.8369,-0.4927,-0.854,-6.768,-14.695,2,10
0.5635,-0.8477,-0.4907,-1.402,-6.890,-15.061,2,10
0.5635,-0.8545,-0.4941,-2.195,-7.012,-15.000,2,10
0.4004,0.7603,-0.3496,9.878,6.098,-2.805,1,10
0.3965,0.7578,-0.3418,9.939,6.159,-2.744,1,10
0.3950,0.7646,-0.3560,9.695,5.915,-2.866,1,10
0.3994,0.7671,-0.3477,9.329,6.037,-2.683,1,10
0.4004,0.7764,-0.3516,9.146,5.732,-2.317,1,10
0.3994,0.7754,-0.3457,9.512,5.793,-2.195,1,10
0.4023,0.7769,-0.3486,9.085,5.854,-1.768,1,10
0.3984,0.7896,-0.3447,8.902,5.732,-1.829,1,10
0.5625,-0.8613,-0.4922,-3.171,-7.134,-15.366,2,10
0.5640,-0.8638,-0.5000,-3.415,-7.134,-15.549,2,10
0.5566,-0.8667,-0.4932,-4.329,-6.707,-15.793,2,10
0.5640,-0.8745,-0.5024,-5.000,-6.402,-15.732,2,10
0.5659,-0.8667,-0.4980,-6.341,-6.098,-16.098,2,10
0.5679,-0.8696,-0.5034,-6.768,-5.976,-16.159,2,10
0.5581,-0.8647,-0.4995,-7.988,-5.427,-16.280,2,10
0.5581,-0.8638,-0.5054,-8.232,-4.695,-16.220,2,10
0.5625,-0.8643,-0.5049,-9.573,-4.329,-16.524,2,10
0.5630,-0.8560,-0.5107,-10.061,-3.476,-16.463,2,10
0.5654,-0.8403,-0.5205,-10.732,-3.110,-16.463,2,10
0.5630,-0.8335,-0.5273,-11.585,-2.134,-16.707,2,10
0.5708,-0.8218,-0.5176,-11.585,-1.585,-16.707,2,10
0.5635,-0.8164,-0.5278,-12.195,-1.159,-17.073,2,10
0.5728,-0.8076,-0.5273,-12.744,-0.610,-17.134,2,10
0.5762,-0.7925,-0.5283,-12.317,0.000,-17.073,2,10
0.4233,0.7920,-0.3408,6.341,5.488,-0.427,1,10
0.4268,0.7949,-0.3467,6.037,5.305,-0.122,1,10
0.4277,0.7896,-0.3438,4.939,5.061,0.061,1,10
0.4351,0.7954,-0.3516,4.634,5.061,0.366,1,10
0.4312,0.7881,-0.3486,3.720,5.000,0.549,1,10
0.4355,0.7900,-0.3491,2.927,4.878,0.915,1,10
0.4380,0.7896,-0.3516,2.073,4.695,0.915,1,10
0.4390,0.7886,-0.3511,1.463,4.512,0.854,1,10
0.5757,-0.7871,-0.5332,-12.439,0.427,-17.256,2,10
0.5815,-0.7773,-0.5269,-12.561,0.793,-17.134,2,10
0.5815,-0.7642,-0.5254,-12.256,1.280,-17.073,2,10
0.5820,-0.7593,-0.5381,-12.195,1.585,-17.134,2,10
0.5801,-0.7539,-0.5396,-12.439,2.134,-17.195,2,10
0.5933,-0.7397,-0.5381,-12.439,2.866,-16.890,2,10
0.5869,-0.7358,-0.5386,-12.622,2.805,-16.829,2,10
0.5947,-0.7363,-0.5474,-12.866,3.232,-16.646,2,10
0.4395,0.7900,-0.3564,0.549,4.329,1.585,1,10
0.4429,0.7837,-0.3555,-0.366,4.390,1.829,1,10
0.4487,0.7896,-0.3501,-0.976,4.146,1.951,1,10
0.4463,0.7891,-0.3525,-1.768,4.146,2.500,1,10
